accuracy,balanced_accuracy,f1,precision,recall,auc,subject,n_test,n_pos
0.6,0.6,0.5348837209302325,0.6388888888888888,0.46,,PA01,100,50
0.61,0.61,0.5301204819277109,0.6666666666666666,0.44,,PA02,100,50
0.53,0.53,0.5688073394495413,0.5254237288135594,0.62,,PA03,100,50
0.53,0.53,0.37333333333333335,0.56,0.28,,PA04,100,50
0.43,0.43,0.2962962962962963,0.3870967741935484,0.24,,PA05,100,50
0.71,0.71,0.7716535433070866,0.6363636363636364,0.98,,PA06,100,50
0.52,0.52,0.3684210526315789,0.5384615384615384,0.28,,PA07,100,50
0.74,0.74,0.6578947368421053,0.9615384615384616,0.5,,PA08,100,50
0.56,0.56,0.6451612903225806,0.5405405405405406,0.8,,PA10,100,50
0.35,0.35,0.4715447154471545,0.3972602739726027,0.58,,PA11,100,50
0.52,0.52,0.5294117647058824,0.5192307692307693,0.54,,PA12,100,50
0.5,0.5,0.358974358974359,0.5,0.28,,PA13,100,50
0.48,0.48,0.2571428571428571,0.45,0.18,,PA14,100,50
0.51,0.51,0.6524822695035462,0.5054945054945055,0.92,,PA15,100,50
0.47,0.47000000000000003,0.4175824175824176,0.4634146341463415,0.38,,PA16,100,50
0.71,0.71,0.6741573033707865,0.7692307692307693,0.6,,PA17,100,50
0.48,0.48,0.2777777777777778,0.45454545454545453,0.2,,PA18,100,50
0.49,0.49,0.6330935251798561,0.4943820224719101,0.88,,PA19,100,50
0.4,0.4,0.5081967213114754,0.4305555555555556,0.62,,PA20,100,50
0.6,0.6000000000000001,0.6666666666666666,0.5714285714285714,0.8,,PA21,100,50
0.54,0.54,0.41025641025641024,0.5714285714285714,0.32,,PA22,100,50
0.59,0.5900000000000001,0.5591397849462365,0.6046511627906976,0.52,,PA24,100,50
0.48,0.48,0.2777777777777778,0.45454545454545453,0.2,,PB01,100,50
0.51,0.51,0.6016260162601627,0.5068493150684932,0.74,,PB02,100,50
0.58,0.58,0.6612903225806451,0.5540540540540541,0.82,,PB03,100,50
0.53,0.53,0.624,0.52,0.78,,PB04,100,50
0.66,0.66,0.7017543859649122,0.625,0.8,,PB05,100,50
0.52,0.52,0.6470588235294118,0.5116279069767442,0.88,,PB06,100,50
0.53,0.53,0.6115702479338843,0.5211267605633803,0.74,,PB07,100,50
0.49,0.49,0.4742268041237113,0.48936170212765956,0.46,,PB08,100,50
0.53,0.53,0.6356589147286822,0.5189873417721519,0.82,,PB10,100,50
0.59,0.59,0.6666666666666666,0.5616438356164384,0.82,,PB12,100,50
0.57,0.57,0.6614173228346457,0.5454545454545454,0.84,,PB13,100,50
0.37,0.37,0.3883495145631068,0.37735849056603776,0.4,,PB14,100,50
0.49,0.49,0.48484848484848486,0.4897959183673469,0.48,,PB15,100,50
0.7,0.7,0.6739130434782609,0.7380952380952381,0.62,,PB16,100,50
0.49,0.49,0.45161290322580644,0.4883720930232558,0.42,,PB17,100,50
0.56,0.5599999999999999,0.6140350877192983,0.546875,0.7,,PB18,100,50
