accuracy,balanced_accuracy,f1,precision,recall,auc,subject,n_test,n_pos
0.49,0.49,0.4,0.4857142857142857,0.34,,PA01,100,50
0.41,0.41,0.5426356589147286,0.4430379746835443,0.7,,PA02,100,50
0.51,0.51,0.6711409395973155,0.5050505050505051,1.0,,PA03,100,50
0.51,0.51,0.6711409395973155,0.5050505050505051,1.0,,PA04,100,50
0.51,0.51,0.5050505050505051,0.5102040816326531,0.5,,PA05,100,50
0.57,0.5700000000000001,0.6446280991735537,0.5492957746478874,0.78,,PA06,100,50
0.44,0.44,0.5409836065573771,0.4583333333333333,0.66,,PA07,100,50
0.48,0.48,0.59375,0.48717948717948717,0.76,,PA08,100,50
0.52,0.52,0.6417910447761194,0.5119047619047619,0.86,,PA10,100,50
0.53,0.53,0.6802721088435374,0.5154639175257731,1.0,,PA11,100,50
0.57,0.5700000000000001,0.6126126126126126,0.5573770491803278,0.68,,PA12,100,50
0.55,0.55,0.5714285714285714,0.5454545454545454,0.6,,PA13,100,50
0.47,0.47000000000000003,0.5954198473282443,0.48148148148148145,0.78,,PA14,100,50
0.55,0.55,0.6853146853146853,0.5268817204301075,0.98,,PA15,100,50
0.57,0.5700000000000001,0.5904761904761905,0.5636363636363636,0.62,,PA16,100,50
0.59,0.5900000000000001,0.6870229007633588,0.5555555555555556,0.9,,PA17,100,50
0.35,0.35,0.3434343434343434,0.3469387755102041,0.34,,PA18,100,50
0.48,0.48,0.6486486486486487,0.4897959183673469,0.96,,PA19,100,50
0.48,0.48000000000000004,0.6388888888888888,0.48936170212765956,0.92,,PA20,100,50
0.45,0.44999999999999996,0.367816091954023,0.43243243243243246,0.32,,PA21,100,50
0.52,0.52,0.4666666666666667,0.525,0.42,,PA22,100,50
0.54,0.54,0.6617647058823529,0.5232558139534884,0.9,,PA24,100,50
0.35,0.35,0.4444444444444444,0.3880597014925373,0.52,,PB01,100,50
0.55,0.55,0.5360824742268041,0.5531914893617021,0.52,,PB02,100,50
0.45,0.45000000000000007,0.5045045045045045,0.45901639344262296,0.56,,PB03,100,50
0.48,0.48,0.59375,0.48717948717948717,0.76,,PB04,100,50
0.43,0.43000000000000005,0.5365853658536586,0.4520547945205479,0.66,,PB05,100,50
0.5,0.5,0.5614035087719298,0.5,0.64,,PB06,100,50
0.46,0.46,0.5573770491803278,0.4722222222222222,0.68,,PB07,100,50
0.53,0.53,0.6115702479338843,0.5211267605633803,0.74,,PB08,100,50
0.43,0.43,0.5957446808510638,0.46153846153846156,0.84,,PB10,100,50
0.42,0.42,0.546875,0.44871794871794873,0.7,,PB12,100,50
0.5,0.5,0.647887323943662,0.5,0.92,,PB13,100,50
0.48,0.48,0.6338028169014085,0.4891304347826087,0.9,,PB14,100,50
0.49,0.49,0.6165413533834586,0.4939759036144578,0.82,,PB15,100,50
0.52,0.52,0.6756756756756757,0.5102040816326531,1.0,,PB16,100,50
0.54,0.54,0.6290322580645161,0.527027027027027,0.78,,PB17,100,50
0.49,0.49,0.6222222222222222,0.49411764705882355,0.84,,PB18,100,50
