accuracy,balanced_accuracy,f1,precision,recall,auc,subject,n_test,n_pos
0.56,0.56,0.5217391304347826,0.5714285714285714,0.48,,PA01,100,50
0.59,0.59,0.594059405940594,0.5882352941176471,0.6,,PA02,100,50
0.52,0.52,0.5714285714285714,0.5161290322580645,0.64,,PA03,100,50
0.55,0.55,0.4155844155844156,0.5925925925925926,0.32,,PA04,100,50
0.4,0.4,0.3617021276595745,0.38636363636363635,0.34,,PA05,100,50
0.65,0.65,0.6846846846846847,0.6229508196721312,0.76,,PA06,100,50
0.48,0.48000000000000004,0.23529411764705882,0.4444444444444444,0.16,,PA07,100,50
0.67,0.67,0.6666666666666666,0.673469387755102,0.66,,PA08,100,50
0.63,0.63,0.6837606837606838,0.5970149253731343,0.8,,PA10,100,50
0.38,0.38,0.48333333333333334,0.4142857142857143,0.58,,PA11,100,50
0.48,0.48,0.3953488372093023,0.4722222222222222,0.34,,PA12,100,50
0.52,0.52,0.38461538461538464,0.5357142857142857,0.3,,PA13,100,50
0.46,0.45999999999999996,0.25,0.4090909090909091,0.18,,PA14,100,50
0.54,0.54,0.6666666666666666,0.5227272727272727,0.92,,PA15,100,50
0.5,0.5,0.40476190476190477,0.5,0.34,,PA16,100,50
0.61,0.61,0.6776859504132231,0.5774647887323944,0.82,,PA17,100,50
0.38,0.38,0.11428571428571428,0.2,0.08,,PA18,100,50
0.48,0.48000000000000004,0.6388888888888888,0.48936170212765956,0.92,,PA19,100,50
0.37,0.37,0.4793388429752066,0.4084507042253521,0.58,,PA20,100,50
0.52,0.52,0.5294117647058824,0.5192307692307693,0.54,,PA21,100,50
0.52,0.52,0.38461538461538464,0.5357142857142857,0.3,,PA22,100,50
0.56,0.56,0.5319148936170213,0.5681818181818182,0.5,,PA24,100,50
0.38,0.38,0.3541666666666667,0.3695652173913043,0.34,,PB01,100,50
0.54,0.54,0.4888888888888889,0.55,0.44,,PB02,100,50
0.47,0.47000000000000003,0.5046728971962616,0.47368421052631576,0.54,,PB03,100,50
0.53,0.53,0.6115702479338843,0.5211267605633803,0.74,,PB04,100,50
0.53,0.53,0.584070796460177,0.5238095238095238,0.66,,PB05,100,50
0.48,0.48,0.5272727272727272,0.48333333333333334,0.58,,PB06,100,50
0.44,0.44,0.46153846153846156,0.4444444444444444,0.48,,PB07,100,50
0.49,0.49,0.4742268041237113,0.48936170212765956,0.46,,PB08,100,50
0.43,0.43,0.5714285714285714,0.4578313253012048,0.76,,PB10,100,50
0.55,0.55,0.6808510638297872,0.5274725274725275,0.96,,PB12,100,50
0.53,0.53,0.6466165413533834,0.5180722891566265,0.86,,PB13,100,50
0.43,0.43000000000000005,0.4864864864864865,0.4426229508196721,0.54,,PB14,100,50
0.51,0.51,0.5148514851485149,0.5098039215686274,0.52,,PB15,100,50
0.62,0.62,0.6346153846153846,0.6111111111111112,0.66,,PB16,100,50
0.57,0.57,0.656,0.5466666666666666,0.82,,PB17,100,50
0.47,0.47,0.5391304347826087,0.47692307692307695,0.62,,PB18,100,50
