accuracy,balanced_accuracy,f1,precision,recall,auc,subject,n_test,n_pos
0.6,0.6,0.5348837209302325,0.6388888888888888,0.46,,PA01,100,50
0.57,0.5700000000000001,0.5567010309278351,0.574468085106383,0.54,,PA02,100,50
0.49,0.49,0.5405405405405406,0.4918032786885246,0.6,,PA03,100,50
0.55,0.55,0.36619718309859156,0.6190476190476191,0.26,,PA04,100,50
0.39,0.39,0.24691358024691357,0.3225806451612903,0.2,,PA05,100,50
0.62,0.62,0.6041666666666666,0.6304347826086957,0.58,,PA06,100,50
0.49,0.49,0.2153846153846154,0.4666666666666667,0.14,,PA07,100,50
0.69,0.69,0.6804123711340206,0.7021276595744681,0.66,,PA08,100,50
0.56,0.56,0.5686274509803921,0.5576923076923077,0.58,,PA10,100,50
0.39,0.39,0.45045045045045046,0.4098360655737705,0.5,,PA11,100,50
0.46,0.46,0.34146341463414637,0.4375,0.28,,PA12,100,50
0.58,0.58,0.43243243243243246,0.6666666666666666,0.32,,PA13,100,50
0.46,0.46,0.18181818181818182,0.375,0.12,,PA14,100,50
0.59,0.59,0.6771653543307087,0.5584415584415584,0.86,,PA15,100,50
0.48,0.48,0.2972972972972973,0.4583333333333333,0.22,,PA16,100,50
0.68,0.6799999999999999,0.6981132075471698,0.6607142857142857,0.74,,PA17,100,50
0.41,0.41000000000000003,0.09230769230769231,0.2,0.06,,PA18,100,50
0.49,0.49,0.6330935251798561,0.4943820224719101,0.88,,PA19,100,50
0.35,0.35,0.36893203883495146,0.3584905660377358,0.38,,PA20,100,50
0.46,0.46,0.49056603773584906,0.4642857142857143,0.52,,PA21,100,50
0.53,0.53,0.38961038961038963,0.5555555555555556,0.3,,PA22,100,50
0.6,0.6,0.5454545454545454,0.631578947368421,0.48,,PA24,100,50
0.43,0.43,0.32941176470588235,0.4,0.28,,PB01,100,50
0.52,0.52,0.4,0.5333333333333333,0.32,,PB02,100,50
0.48,0.48,0.48,0.48,0.48,,PB03,100,50
0.6,0.6000000000000001,0.6226415094339622,0.5892857142857143,0.66,,PB04,100,50
0.55,0.55,0.5161290322580645,0.5581395348837209,0.48,,PB05,100,50
0.47,0.47,0.46464646464646464,0.46938775510204084,0.46,,PB06,100,50
0.49,0.49,0.4631578947368421,0.4888888888888889,0.44,,PB07,100,50
0.44,0.44000000000000006,0.36363636363636365,0.42105263157894735,0.32,,PB08,100,50
0.48,0.48000000000000004,0.5666666666666667,0.4857142857142857,0.68,,PB10,100,50
0.56,0.5599999999999999,0.6811594202898551,0.5340909090909091,0.94,,PB12,100,50
0.49,0.49,0.6106870229007634,0.49382716049382713,0.8,,PB13,100,50
0.38,0.38,0.3673469387755102,0.375,0.36,,PB14,100,50
0.49,0.49,0.45161290322580644,0.4883720930232558,0.42,,PB15,100,50
0.61,0.61,0.6138613861386139,0.6078431372549019,0.62,,PB16,100,50
0.54,0.54,0.6166666666666667,0.5285714285714286,0.74,,PB17,100,50
0.46,0.46,0.46,0.46,0.46,,PB18,100,50
