accuracy,balanced_accuracy,f1,precision,recall,auc,subject,n_test,n_pos
0.52,0.52,0.38461538461538464,0.5357142857142857,0.3,,PA01,100,50
0.54,0.54,0.5,0.5476190476190477,0.46,,PA02,100,50
0.45,0.45,0.45544554455445546,0.45098039215686275,0.46,,PA03,100,50
0.54,0.54,0.3611111111111111,0.5909090909090909,0.26,,PA04,100,50
0.43,0.43000000000000005,0.3448275862068966,0.40540540540540543,0.3,,PA05,100,50
0.67,0.6699999999999999,0.6796116504854369,0.660377358490566,0.7,,PA06,100,50
0.48,0.48,0.0,0.0,0.0,,PA07,100,50
0.76,0.76,0.7391304347826086,0.8095238095238095,0.68,,PA08,100,50
0.53,0.53,0.4946236559139785,0.5348837209302325,0.46,,PA10,100,50
0.47,0.47000000000000003,0.4175824175824176,0.4634146341463415,0.38,,PA11,100,50
0.52,0.52,0.5,0.5217391304347826,0.48,,PA12,100,50
0.5,0.5,0.21875,0.5,0.14,,PA13,100,50
0.48,0.48,0.2571428571428571,0.45,0.18,,PA14,100,50
0.58,0.5800000000000001,0.65,0.5571428571428572,0.78,,PA15,100,50
0.48,0.48,0.10344827586206896,0.375,0.06,,PA16,100,50
0.62,0.62,0.6274509803921569,0.6153846153846154,0.64,,PA17,100,50
0.48,0.48,0.21212121212121213,0.4375,0.14,,PA18,100,50
0.51,0.51,0.6524822695035462,0.5054945054945055,0.92,,PA19,100,50
0.4,0.4,0.5081967213114754,0.4305555555555556,0.62,,PA20,100,50
0.57,0.5700000000000001,0.6446280991735537,0.5492957746478874,0.78,,PA21,100,50
0.56,0.56,0.4634146341463415,0.59375,0.38,,PA22,100,50
0.54,0.54,0.39473684210526316,0.5769230769230769,0.3,,PA24,100,50
0.59,0.59,0.4533333333333333,0.68,0.34,,PB01,100,50
0.6,0.6,0.5555555555555556,0.625,0.5,,PB02,100,50
0.52,0.52,0.52,0.52,0.52,,PB03,100,50
0.48,0.48,0.49019607843137253,0.4807692307692308,0.5,,PB04,100,50
0.58,0.5800000000000001,0.5333333333333333,0.6,0.48,,PB05,100,50
0.48,0.48,0.44680851063829785,0.4772727272727273,0.42,,PB06,100,50
0.46,0.45999999999999996,0.4375,0.45652173913043476,0.42,,PB07,100,50
0.51,0.51,0.36363636363636365,0.5185185185185185,0.28,,PB08,100,50
0.52,0.52,0.6363636363636364,0.5121951219512195,0.84,,PB10,100,50
0.56,0.56,0.6451612903225806,0.5405405405405406,0.8,,PB12,100,50
0.49,0.49,0.6106870229007634,0.49382716049382713,0.8,,PB13,100,50
0.45,0.45,0.42105263157894735,0.4444444444444444,0.4,,PB14,100,50
0.51,0.51,0.5811965811965812,0.5074626865671642,0.68,,PB15,100,50
0.64,0.6399999999999999,0.6170212765957447,0.6590909090909091,0.58,,PB16,100,50
0.53,0.53,0.6115702479338843,0.5211267605633803,0.74,,PB17,100,50
0.56,0.56,0.6333333333333333,0.5428571428571428,0.76,,PB18,100,50
