subject,accuracy,balanced_accuracy,f1,precision,recall,n_test,n_pos,auc
PA01,0.24597701149425288,0.4465106532554618,0.23125,0.1371640407784986,0.736318407960199,1305,201,0.46297498017160577
PA02,0.24758454106280192,0.5146017699115044,0.31007751937984496,0.18592297476759628,0.9333333333333333,828,150,0.5712782694198624
PA03,0.3006081668114683,0.4596338840693433,0.41624365482233505,0.2759615384615385,0.8466076696165191,1151,339,0.4953318220788468
PA04,0.6805896805896806,0.5265711150828428,0.803030303030303,0.6892067620286085,0.9618874773139746,814,551,0.5370601671347637
PA05,0.30861244019138756,0.458573790962168,0.42658730158730157,0.2855245683930943,0.8431372549019608,836,255,0.4195065978198508
PA06,0.6054421768707483,0.5044137022397892,0.7418397626112759,0.628140703517588,0.9057971014492754,441,276,0.5641414141414142
PA07,0.6087378640776699,0.5383224143819666,0.7405022537025112,0.6046267087276551,0.9551495016611296,1030,602,0.6498858943707889
PA08,0.2868480725623583,0.5767160161507402,0.3065049614112459,0.18098958333333334,1.0,882,139,0.7619315045944404
PA10,0.6349614395886889,0.5564901176993116,0.7534722222222222,0.640117994100295,0.9156118143459916,389,237,0.6088163446591162
PA11,0.5448275862068965,0.5288095238095238,0.6930232558139535,0.5321428571428571,0.9933333333333333,290,150,0.5124761904761905
PA12,0.34477379095163807,0.5510280274140644,0.4101123595505618,0.2616487455197133,0.948051948051948,641,154,0.5518813835035601
PA13,0.22962962962962963,0.5269087310649312,0.2876712328767123,0.16901408450704225,0.9655172413793104,1080,174,0.6430184466265764
PA14,0.44702320887991925,0.5355470934985586,0.5608974358974359,0.40369088811995385,0.9186351706036745,991,381,0.5095692956413235
PA15,0.3531746031746032,0.5959348168915367,0.26905829596412556,0.15748031496062992,0.9230769230769231,1008,130,0.6520501138952163
PA16,0.35655737704918034,0.48210012798872215,0.4894308943089431,0.3374439461883408,0.8905325443786982,976,338,0.5233347554302461
PA17,0.58377239199157,0.5465651830965484,0.6892210857592447,0.6008230452674898,0.8081180811808119,949,542,0.5791045993998023
PA18,0.4115942028985507,0.5667077175697866,0.4183381088825215,0.27547169811320754,0.8690476190476191,345,84,0.5914979018427294
PA19,0.44190871369294604,0.5049308796337061,0.5855161787365177,0.42792792792792794,0.926829268292683,482,205,0.4719380117988906
PA20,0.4136490250696379,0.5094139107632922,0.5591623036649215,0.3961424332344214,0.9501779359430605,718,281,0.4960137462641596
PA21,0.6549835706462213,0.586236400497812,0.7622641509433963,0.6532988357050453,0.9148550724637681,913,552,0.6413645670239674
PA22,0.3675564681724846,0.5005226116646924,0.5079872204472844,0.348302300109529,0.9380530973451328,974,339,0.5247392748472812
PA24,0.584841628959276,0.5770054297715398,0.6816999132697311,0.5622317596566524,0.8656387665198237,884,454,0.649815592664686
PB01,0.3646112600536193,0.57336017282011,0.2113144758735441,0.12095238095238095,0.8355263157894737,1492,152,0.6461360958366064
PB02,0.17786187322611163,0.49223605150214594,0.20639269406392693,0.11649484536082474,0.904,1057,125,0.610137339055794
PB03,0.4103072348860258,0.47912030317690696,0.5647403072421361,0.4093319194061506,0.910377358490566,1009,424,0.4932994678277697
PB04,0.3660130718954248,0.5342592592592592,0.4666142969363708,0.31002087682672236,0.9428571428571428,1071,315,0.5906588561350467
PB05,0.691566265060241,0.5205593384227359,0.8131386861313868,0.6971214017521903,0.9754816112084063,830,571,0.5737073075076577
PB06,0.40490196078431373,0.5388895276787653,0.5283605283605284,0.36324786324786323,0.9686609686609686,1020,351,0.6083025649542839
PB07,0.4389438943894389,0.5349723686852144,0.5233644859813084,0.3748326639892905,0.8668730650154799,909,323,0.5851076194803411
PB08,0.3902702702702703,0.529998487925001,0.48633879781420764,0.3316770186335404,0.9112627986348123,925,293,0.5897767529269452
PB10,0.2504708097928437,0.5258461892700897,0.32996632996632996,0.19878296146044624,0.9702970297029703,531,101,0.6046281372323279
PB12,0.2890995260663507,0.509699817697174,0.4174757281553398,0.2657601977750309,0.9728506787330317,844,221,0.7223404487118962
PB13,0.2406847935548842,0.46624703521255245,0.3231597845601436,0.19911504424778761,0.8571428571428571,993,210,0.45658334853737154
PB14,0.32636469221835074,0.5046501746766122,0.42574257425742573,0.27849740932642486,0.9033613445378151,861,238,0.4948001672579144
PB15,0.4050179211469534,0.6070605556266804,0.27405247813411077,0.16234887737478412,0.8785046728971962,837,107,0.6421200870567149
PB16,0.338801261829653,0.5417246512007259,0.3383838383838384,0.20986687548942834,0.8729641693811075,1585,307,0.6140421974481708
PB17,0.20224719101123595,0.4864541037076483,0.30528375733855184,0.1822429906542056,0.9397590361445783,890,166,0.5566797577048526
PB18,0.23995771670190275,0.51792863359443,0.3261480787253983,0.19616685456595265,0.9666666666666667,946,180,0.7149840440963156
