subject,balanced_accuracy,accuracy,f1,precision,recall,auc,n_test,n_pos
PA01,0.46,0.46,0.5846153846153846,0.475,0.76,0.45919999999999994,50,25
PA02,0.48,0.48,0.6285714285714286,0.4888888888888889,0.88,0.5184,50,25
PA03,0.44,0.44,0.6,0.4666666666666667,0.84,0.37920000000000004,50,25
PA04,0.52,0.52,0.6756756756756757,0.5102040816326531,1.0,0.6016,50,25
PA05,0.42,0.42,0.5538461538461539,0.45,0.72,0.4416,50,25
PA06,0.54,0.54,0.6666666666666666,0.5227272727272727,0.92,0.5968,50,25
PA07,0.56,0.56,0.6944444444444444,0.5319148936170213,1.0,0.6896,50,25
PA08,0.56,0.56,0.6944444444444444,0.5319148936170213,1.0,0.7824,50,25
PA10,0.5800000000000001,0.58,0.6865671641791045,0.5476190476190477,0.92,0.6095999999999999,50,25
PA11,0.5,0.5,0.6666666666666666,0.5,1.0,0.46240000000000003,50,25
PA12,0.48,0.48,0.6486486486486487,0.4897959183673469,0.96,0.29919999999999997,50,25
PA13,0.56,0.56,0.6944444444444444,0.5319148936170213,1.0,0.6944,50,25
PA14,0.5,0.5,0.6376811594202898,0.5,0.88,0.52,50,25
PA15,0.54,0.54,0.6666666666666666,0.5227272727272727,0.92,0.5808,50,25
PA16,0.48,0.48,0.6285714285714286,0.4888888888888889,0.88,0.41759999999999997,50,25
PA17,0.58,0.58,0.6956521739130435,0.5454545454545454,0.96,0.6032,50,25
PA18,0.52,0.52,0.6363636363636364,0.5121951219512195,0.84,0.6943999999999999,50,25
PA19,0.48000000000000004,0.48,0.6060606060606061,0.4878048780487805,0.8,0.4112,50,25
PA20,0.54,0.54,0.676056338028169,0.5217391304347826,0.96,0.5631999999999999,50,25
PA21,0.6000000000000001,0.6,0.696969696969697,0.5609756097560976,0.92,0.656,50,25
PA22,0.5,0.5,0.647887323943662,0.5,0.92,0.44480000000000003,50,25
PA24,0.64,0.64,0.71875,0.5897435897435898,0.92,0.7152,50,25
PB01,0.6599999999999999,0.66,0.7384615384615385,0.6,0.96,0.7072,50,25
PB02,0.45999999999999996,0.46,0.6086956521739131,0.4772727272727273,0.84,0.42079999999999995,50,25
PB03,0.42000000000000004,0.42,0.5797101449275363,0.45454545454545453,0.8,0.5136,50,25
PB04,0.5,0.5,0.647887323943662,0.5,0.92,0.592,50,25
PB05,0.5,0.5,0.6575342465753424,0.5,0.96,0.4576,50,25
PB06,0.54,0.54,0.6666666666666666,0.5227272727272727,0.92,0.6208,50,25
PB07,0.58,0.58,0.6956521739130435,0.5454545454545454,0.96,0.5791999999999999,50,25
PB08,0.58,0.58,0.6956521739130435,0.5454545454545454,0.96,0.5888,50,25
PB10,0.56,0.56,0.6944444444444444,0.5319148936170213,1.0,0.5072,50,25
PB12,0.5,0.5,0.6666666666666666,0.5,1.0,0.5536,50,25
PB13,0.5,0.5,0.647887323943662,0.5,0.92,0.5264,50,25
PB14,0.5,0.5,0.647887323943662,0.5,0.92,0.48640000000000005,50,25
PB15,0.6799999999999999,0.68,0.7333333333333333,0.6285714285714286,0.88,0.7632,50,25
PB16,0.46,0.46,0.5846153846153846,0.475,0.76,0.5088,50,25
PB17,0.5,0.5,0.6575342465753424,0.5,0.96,0.528,50,25
PB18,0.54,0.54,0.684931506849315,0.5208333333333334,1.0,0.672,50,25
