subject,balanced_accuracy,accuracy,f1,precision,recall,auc,n_test,n_pos
PA01,0.46,0.46,0.5846153846153846,0.475,0.76,0.40159999999999996,50,25
PA02,0.5,0.5,0.6575342465753424,0.5,0.96,0.6288,50,25
PA03,0.48000000000000004,0.48,0.6388888888888888,0.48936170212765956,0.92,0.64,50,25
PA04,0.52,0.52,0.6756756756756757,0.5102040816326531,1.0,0.6624,50,25
PA05,0.46,0.46,0.6301369863013698,0.4791666666666667,0.92,0.45600000000000007,50,25
PA06,0.5,0.5,0.6666666666666666,0.5,1.0,0.3808,50,25
PA07,0.5599999999999999,0.56,0.6857142857142857,0.5333333333333333,0.96,0.6496000000000001,50,25
PA08,0.52,0.52,0.6756756756756757,0.5102040816326531,1.0,0.7872,50,25
PA10,0.48,0.48,0.6486486486486487,0.4897959183673469,0.96,0.7616,50,25
PA11,0.5,0.5,0.6666666666666666,0.5,1.0,0.5792,50,25
PA12,0.48,0.48,0.6486486486486487,0.4897959183673469,0.96,0.5903999999999999,50,25
PA13,0.5800000000000001,0.58,0.676923076923077,0.55,0.88,0.6768,50,25
PA14,0.52,0.52,0.6756756756756757,0.5102040816326531,1.0,0.528,50,25
PA15,0.52,0.52,0.6666666666666666,0.5106382978723404,0.96,0.6672,50,25
PA16,0.46,0.46,0.6197183098591549,0.4782608695652174,0.88,0.4464,50,25
PA17,0.54,0.54,0.676056338028169,0.5217391304347826,0.96,0.6447999999999999,50,25
PA18,0.54,0.54,0.6567164179104478,0.5238095238095238,0.88,0.7312,50,25
PA19,0.54,0.54,0.6567164179104478,0.5238095238095238,0.88,0.4832000000000001,50,25
PA20,0.44,0.44,0.6,0.4666666666666667,0.84,0.4543999999999999,50,25
PA21,0.52,0.52,0.6571428571428571,0.5111111111111111,0.92,0.7392,50,25
PA22,0.5,0.5,0.6575342465753424,0.5,0.96,0.6544,50,25
PA24,0.54,0.54,0.676056338028169,0.5217391304347826,0.96,0.64,50,25
PB01,0.56,0.56,0.6666666666666666,0.5365853658536586,0.88,0.6064,50,25
PB02,0.48000000000000004,0.48,0.6388888888888888,0.48936170212765956,0.92,0.49920000000000003,50,25
PB03,0.48,0.48,0.6486486486486487,0.4897959183673469,0.96,0.6592,50,25
PB04,0.54,0.54,0.684931506849315,0.5208333333333334,1.0,0.552,50,25
PB05,0.52,0.52,0.6756756756756757,0.5102040816326531,1.0,0.3952,50,25
PB06,0.54,0.54,0.676056338028169,0.5217391304347826,0.96,0.5952,50,25
PB07,0.54,0.54,0.6461538461538462,0.525,0.84,0.5776000000000001,50,25
PB08,0.56,0.56,0.6944444444444444,0.5319148936170213,1.0,0.6464000000000001,50,25
PB10,0.46,0.46,0.6301369863013698,0.4791666666666667,0.92,0.56,50,25
PB12,0.52,0.52,0.6756756756756757,0.5102040816326531,1.0,0.5680000000000001,50,25
PB13,0.58,0.58,0.6956521739130435,0.5454545454545454,0.96,0.6208,50,25
PB14,0.5,0.5,0.6666666666666666,0.5,1.0,0.4832,50,25
PB15,0.54,0.54,0.684931506849315,0.5208333333333334,1.0,0.6864,50,25
PB16,0.56,0.56,0.6944444444444444,0.5319148936170213,1.0,0.49760000000000004,50,25
PB17,0.52,0.52,0.6756756756756757,0.5102040816326531,1.0,0.544,50,25
PB18,0.5,0.5,0.6666666666666666,0.5,1.0,0.7424000000000001,50,25
