subject,balanced_accuracy,accuracy,f1,precision,recall,auc,n_test,n_pos
PA01,0.38,0.38,0.4918032786885246,0.4166666666666667,0.6,0.4,50,25
PA02,0.64,0.64,0.6896551724137931,0.6060606060606061,0.8,0.6288000000000001,50,25
PA03,0.5800000000000001,0.58,0.6181818181818182,0.5666666666666667,0.68,0.6352,50,25
PA04,0.5,0.5,0.5614035087719298,0.5,0.64,0.5552,50,25
PA05,0.5,0.5,0.5614035087719298,0.5,0.64,0.5184,50,25
PA06,0.6799999999999999,0.68,0.7037037037037037,0.6551724137931034,0.76,0.7984,50,25
PA07,0.6799999999999999,0.68,0.7241379310344828,0.6363636363636364,0.84,0.7072,50,25
PA08,0.74,0.74,0.7547169811320755,0.7142857142857143,0.8,0.8064,50,25
PA10,0.64,0.64,0.7096774193548387,0.5945945945945946,0.88,0.6304,50,25
PA11,0.42,0.42,0.5084745762711864,0.4411764705882353,0.6,0.48799999999999993,50,25
PA12,0.5800000000000001,0.58,0.676923076923077,0.55,0.88,0.632,50,25
PA13,0.56,0.56,0.6451612903225806,0.5405405405405406,0.8,0.6816,50,25
PA14,0.54,0.54,0.6349206349206349,0.5263157894736842,0.8,0.5968000000000001,50,25
PA15,0.6000000000000001,0.6,0.6296296296296297,0.5862068965517241,0.68,0.6064,50,25
PA16,0.58,0.58,0.631578947368421,0.5625,0.72,0.6496,50,25
PA17,0.6200000000000001,0.62,0.6415094339622641,0.6071428571428571,0.68,0.7247999999999999,50,25
PA18,0.64,0.64,0.6538461538461539,0.6296296296296297,0.68,0.7056,50,25
PA19,0.6,0.6,0.6551724137931034,0.5757575757575758,0.76,0.6272,50,25
PA20,0.46,0.46,0.49056603773584906,0.4642857142857143,0.52,0.5232,50,25
PA21,0.66,0.66,0.7213114754098361,0.6111111111111112,0.88,0.8031999999999999,50,25
PA22,0.6000000000000001,0.6,0.6296296296296297,0.5862068965517241,0.68,0.6416,50,25
PA24,0.62,0.62,0.6545454545454545,0.6,0.72,0.6368,50,25
PB01,0.62,0.62,0.6122448979591837,0.625,0.6,0.7792,50,25
PB02,0.42,0.42,0.5084745762711864,0.4411764705882353,0.6,0.48319999999999996,50,25
PB03,0.54,0.54,0.6666666666666666,0.5227272727272727,0.92,0.6000000000000001,50,25
PB04,0.6000000000000001,0.6,0.696969696969697,0.5609756097560976,0.92,0.5904,50,25
PB05,0.62,0.62,0.6885245901639344,0.5833333333333334,0.84,0.6688,50,25
PB06,0.52,0.52,0.625,0.5128205128205128,0.8,0.6416000000000001,50,25
PB07,0.6200000000000001,0.62,0.6415094339622641,0.6071428571428571,0.68,0.5984,50,25
PB08,0.54,0.54,0.6229508196721312,0.5277777777777778,0.76,0.45919999999999994,50,25
PB10,0.52,0.52,0.6571428571428571,0.5111111111111111,0.92,0.6832,50,25
PB12,0.64,0.64,0.6538461538461539,0.6296296296296297,0.68,0.6832,50,25
PB13,0.52,0.52,0.6129032258064516,0.5135135135135135,0.76,0.616,50,25
PB14,0.5,0.5,0.6153846153846154,0.5,0.8,0.5216,50,25
PB15,0.5800000000000001,0.58,0.5714285714285714,0.5833333333333334,0.56,0.6112000000000001,50,25
PB16,0.64,0.64,0.6666666666666666,0.6206896551724138,0.72,0.7024,50,25
PB17,0.56,0.56,0.6666666666666666,0.5365853658536586,0.88,0.712,50,25
PB18,0.6799999999999999,0.68,0.7037037037037037,0.6551724137931034,0.76,0.728,50,25
