accuracy,balanced_accuracy,f1,precision,recall,auc,subject,n_test,n_pos
0.56,0.56,0.6666666666666666,0.5365853658536586,0.88,,PA01,50,25
0.5,0.5,0.46808510638297873,0.5,0.44,,PA02,50,25
0.5,0.5,0.5454545454545454,0.5,0.6,,PA03,50,25
0.48,0.48,0.59375,0.48717948717948717,0.76,,PA04,50,25
0.42,0.42000000000000004,0.35555555555555557,0.4,0.32,,PA05,50,25
0.7,0.7,0.7619047619047619,0.631578947368421,0.96,,PA06,50,25
0.6,0.6,0.5454545454545454,0.631578947368421,0.48,,PA07,50,25
0.74,0.74,0.6666666666666666,0.9285714285714286,0.52,,PA08,50,25
0.5,0.5,0.6153846153846154,0.5,0.8,,PA10,50,25
0.38,0.38,0.5230769230769231,0.425,0.68,,PA11,50,25
0.44,0.44,0.5172413793103449,0.45454545454545453,0.6,,PA12,50,25
0.6,0.6000000000000001,0.6153846153846154,0.5925925925925926,0.64,,PA13,50,25
0.42,0.42000000000000004,0.4727272727272727,0.43333333333333335,0.52,,PA14,50,25
0.52,0.52,0.6756756756756757,0.5102040816326531,1.0,,PA15,50,25
0.54,0.54,0.6567164179104478,0.5238095238095238,0.88,,PA16,50,25
0.66,0.6599999999999999,0.6792452830188679,0.6428571428571429,0.72,,PA17,50,25
0.62,0.62,0.5581395348837209,0.6666666666666666,0.48,,PA18,50,25
0.54,0.54,0.684931506849315,0.5208333333333334,1.0,,PA19,50,25
0.46,0.45999999999999996,0.5714285714285714,0.47368421052631576,0.72,,PA20,50,25
0.64,0.64,0.7352941176470589,0.5813953488372093,1.0,,PA21,50,25
0.64,0.64,0.6896551724137931,0.6060606060606061,0.8,,PA22,50,25
0.6,0.6,0.6551724137931034,0.5757575757575758,0.76,,PA24,50,25
0.72,0.72,0.6818181818181818,0.7894736842105263,0.6,,PB01,50,25
0.58,0.58,0.6956521739130435,0.5454545454545454,0.96,,PB02,50,25
0.54,0.54,0.6567164179104478,0.5238095238095238,0.88,,PB03,50,25
0.5,0.5,0.6575342465753424,0.5,0.96,,PB04,50,25
0.7,0.7,0.7540983606557377,0.6388888888888888,0.92,,PB05,50,25
0.5,0.5,0.6575342465753424,0.5,0.96,,PB06,50,25
0.56,0.56,0.6764705882352942,0.5348837209302325,0.92,,PB07,50,25
0.54,0.54,0.684931506849315,0.5208333333333334,1.0,,PB08,50,25
0.52,0.52,0.6756756756756757,0.5102040816326531,1.0,,PB10,50,25
0.58,0.5800000000000001,0.676923076923077,0.55,0.88,,PB12,50,25
0.5,0.5,0.6575342465753424,0.5,0.96,,PB13,50,25
0.38,0.38,0.43636363636363634,0.4,0.48,,PB14,50,25
0.46,0.46,0.5970149253731343,0.47619047619047616,0.8,,PB15,50,25
0.66,0.66,0.6909090909090909,0.6333333333333333,0.76,,PB16,50,25
0.52,0.52,0.625,0.5128205128205128,0.8,,PB17,50,25
0.5,0.5,0.647887323943662,0.5,0.92,,PB18,50,25
