accuracy,balanced_accuracy,f1,precision,recall,auc,subject,n_test,n_pos
0.5,0.5,0.6666666666666666,0.5,1.0,,PA01,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PA02,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PA03,50,25
0.52,0.52,0.6756756756756757,0.5102040816326531,1.0,,PA04,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PA05,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PA06,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PA07,50,25
0.54,0.54,0.684931506849315,0.5208333333333334,1.0,,PA08,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PA10,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PA11,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PA12,50,25
0.48,0.48,0.6486486486486487,0.4897959183673469,0.96,,PA13,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PA14,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PA15,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PA16,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PA17,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PA18,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PA19,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PA20,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PA21,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PA22,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PA24,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PB01,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PB02,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PB03,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PB04,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PB05,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PB06,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PB07,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PB08,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PB10,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PB12,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PB13,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PB14,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PB15,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PB16,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PB17,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PB18,50,25
