accuracy,balanced_accuracy,f1,precision,recall,auc,subject,n_test,n_pos
0.58,0.5800000000000001,0.5882352941176471,0.5769230769230769,0.6,,PA01,50,25
0.48,0.48,0.1875,0.42857142857142855,0.12,,PA02,50,25
0.5,0.5,0.46808510638297873,0.5,0.44,,PA03,50,25
0.62,0.62,0.6274509803921569,0.6153846153846154,0.64,,PA04,50,25
0.46,0.46,0.425531914893617,0.45454545454545453,0.4,,PA05,50,25
0.7,0.7,0.7619047619047619,0.631578947368421,0.96,,PA06,50,25
0.5,0.5,0.2857142857142857,0.5,0.2,,PA07,50,25
0.5,0.5,0.0,0.0,0.0,,PA08,50,25
0.58,0.5800000000000001,0.6557377049180327,0.5555555555555556,0.8,,PA10,50,25
0.3,0.30000000000000004,0.36363636363636365,0.3333333333333333,0.4,,PA11,50,25
0.42,0.42,0.5084745762711864,0.4411764705882353,0.6,,PA12,50,25
0.48,0.48000000000000004,0.43478260869565216,0.47619047619047616,0.4,,PA13,50,25
0.4,0.4,0.5,0.42857142857142855,0.6,,PA14,50,25
0.6,0.6,0.7058823529411765,0.5581395348837209,0.96,,PA15,50,25
0.48,0.48000000000000004,0.43478260869565216,0.47619047619047616,0.4,,PA16,50,25
0.68,0.6799999999999999,0.6666666666666666,0.6956521739130435,0.64,,PA17,50,25
0.6,0.6,0.5238095238095238,0.6470588235294118,0.44,,PA18,50,25
0.56,0.56,0.6944444444444444,0.5319148936170213,1.0,,PA19,50,25
0.44,0.44,0.5333333333333333,0.45714285714285713,0.64,,PA20,50,25
0.6,0.6000000000000001,0.696969696969697,0.5609756097560976,0.92,,PA21,50,25
0.68,0.6799999999999999,0.7037037037037037,0.6551724137931034,0.76,,PA22,50,25
0.56,0.56,0.6333333333333333,0.5428571428571428,0.76,,PA24,50,25
0.64,0.64,0.625,0.6521739130434783,0.6,,PB01,50,25
0.58,0.5800000000000001,0.6865671641791045,0.5476190476190477,0.92,,PB02,50,25
0.5,0.5,0.6031746031746031,0.5,0.76,,PB03,50,25
0.44,0.44,0.5882352941176471,0.46511627906976744,0.8,,PB04,50,25
0.64,0.64,0.7272727272727273,0.5853658536585366,0.96,,PB05,50,25
0.46,0.46,0.5970149253731343,0.47619047619047616,0.8,,PB06,50,25
0.54,0.54,0.684931506849315,0.5208333333333334,1.0,,PB07,50,25
0.44,0.44000000000000006,0.5,0.45161290322580644,0.56,,PB08,50,25
0.52,0.52,0.6756756756756757,0.5102040816326531,1.0,,PB10,50,25
0.62,0.62,0.6984126984126984,0.5789473684210527,0.88,,PB12,50,25
0.58,0.58,0.6956521739130435,0.5454545454545454,0.96,,PB13,50,25
0.38,0.38,0.43636363636363634,0.4,0.48,,PB14,50,25
0.46,0.46,0.5846153846153846,0.475,0.76,,PB15,50,25
0.72,0.72,0.7083333333333334,0.7391304347826086,0.68,,PB16,50,25
0.58,0.58,0.6666666666666666,0.5526315789473685,0.84,,PB17,50,25
0.5,0.5,0.6376811594202898,0.5,0.88,,PB18,50,25
