accuracy,balanced_accuracy,f1,precision,recall,auc,subject,n_test,n_pos
0.56,0.56,0.5769230769230769,0.5555555555555556,0.6,,PA01,50,25
0.54,0.54,0.46511627906976744,0.5555555555555556,0.4,,PA02,50,25
0.46,0.46,0.5846153846153846,0.475,0.76,,PA03,50,25
0.46,0.45999999999999996,0.5714285714285714,0.47368421052631576,0.72,,PA04,50,25
0.46,0.46,0.6197183098591549,0.4782608695652174,0.88,,PA05,50,25
0.68,0.68,0.7142857142857143,0.6451612903225806,0.8,,PA06,50,25
0.46,0.46,0.509090909090909,0.4666666666666667,0.56,,PA07,50,25
0.56,0.56,0.47619047619047616,0.5882352941176471,0.4,,PA08,50,25
0.5,0.5,0.647887323943662,0.5,0.92,,PA10,50,25
0.4,0.4,0.4230769230769231,0.4074074074074074,0.44,,PA11,50,25
0.5,0.5,0.6575342465753424,0.5,0.96,,PA12,50,25
0.52,0.52,0.5555555555555556,0.5172413793103449,0.6,,PA13,50,25
0.44,0.44,0.5882352941176471,0.46511627906976744,0.8,,PA14,50,25
0.62,0.62,0.7164179104477612,0.5714285714285714,0.96,,PA15,50,25
0.56,0.56,0.5925925925925926,0.5517241379310345,0.64,,PA16,50,25
0.52,0.52,0.6756756756756757,0.5102040816326531,1.0,,PA17,50,25
0.52,0.52,0.6129032258064516,0.5135135135135135,0.76,,PA18,50,25
0.48,0.48,0.6486486486486487,0.4897959183673469,0.96,,PA19,50,25
0.42,0.42,0.5538461538461539,0.45,0.72,,PA20,50,25
0.6,0.6,0.6875,0.5641025641025641,0.88,,PA21,50,25
0.5,0.5,0.6575342465753424,0.5,0.96,,PA22,50,25
0.52,0.52,0.6756756756756757,0.5102040816326531,1.0,,PA24,50,25
0.46,0.46,0.6197183098591549,0.4782608695652174,0.88,,PB01,50,25
0.46,0.45999999999999996,0.5263157894736842,0.46875,0.6,,PB02,50,25
0.52,0.52,0.6129032258064516,0.5135135135135135,0.76,,PB03,50,25
0.52,0.52,0.6756756756756757,0.5102040816326531,1.0,,PB04,50,25
0.54,0.54,0.684931506849315,0.5208333333333334,1.0,,PB05,50,25
0.52,0.52,0.6363636363636364,0.5121951219512195,0.84,,PB06,50,25
0.52,0.52,0.6756756756756757,0.5102040816326531,1.0,,PB07,50,25
0.54,0.54,0.6229508196721312,0.5277777777777778,0.76,,PB08,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PB10,50,25
0.56,0.56,0.6944444444444444,0.5319148936170213,1.0,,PB12,50,25
0.52,0.52,0.6756756756756757,0.5102040816326531,1.0,,PB13,50,25
0.52,0.52,0.6571428571428571,0.5111111111111111,0.92,,PB14,50,25
0.48,0.48,0.6486486486486487,0.4897959183673469,0.96,,PB15,50,25
0.54,0.54,0.684931506849315,0.5208333333333334,1.0,,PB16,50,25
0.56,0.56,0.6944444444444444,0.5319148936170213,1.0,,PB17,50,25
0.5,0.5,0.6268656716417911,0.5,0.84,,PB18,50,25
