subject,balanced_accuracy,accuracy,f1,precision,recall,auc,n_test,n_pos
PA01,0.48,0.48,0.5806451612903226,0.4864864864864865,0.72,0.4464,50,25
PA02,0.6000000000000001,0.6,0.6153846153846154,0.5925925925925926,0.64,0.5791999999999999,50,25
PA03,0.48,0.48,0.4583333333333333,0.4782608695652174,0.44,0.5216,50,25
PA04,0.5,0.5,0.6031746031746031,0.5,0.76,0.4768,50,25
PA05,0.6000000000000001,0.6,0.5652173913043478,0.6190476190476191,0.52,0.6,50,25
PA06,0.76,0.76,0.7777777777777778,0.7241379310344828,0.84,0.8672,50,25
PA07,0.66,0.66,0.7017543859649122,0.625,0.8,0.72,50,25
PA08,0.74,0.74,0.6976744186046512,0.8333333333333334,0.6,0.7968,50,25
PA10,0.54,0.54,0.5964912280701754,0.53125,0.68,0.5279999999999999,50,25
PA11,0.46,0.46,0.5573770491803278,0.4722222222222222,0.68,0.45280000000000004,50,25
PA12,0.48,0.48,0.5357142857142857,0.4838709677419355,0.6,0.528,50,25
PA13,0.54,0.54,0.5964912280701754,0.53125,0.68,0.5840000000000001,50,25
PA14,0.5,0.5,0.576271186440678,0.5,0.68,0.4944,50,25
PA15,0.5800000000000001,0.58,0.6037735849056604,0.5714285714285714,0.64,0.6512,50,25
PA16,0.62,0.62,0.6545454545454545,0.6,0.72,0.6528,50,25
PA17,0.64,0.64,0.5909090909090909,0.6842105263157895,0.52,0.6799999999999999,50,25
PA18,0.5800000000000001,0.58,0.5333333333333333,0.6,0.48,0.6384000000000001,50,25
PA19,0.54,0.54,0.5818181818181818,0.5333333333333333,0.64,0.5232,50,25
PA20,0.4,0.4,0.5,0.42857142857142855,0.6,0.49439999999999995,50,25
PA21,0.58,0.58,0.631578947368421,0.5625,0.72,0.6944,50,25
PA22,0.5,0.5,0.5098039215686274,0.5,0.52,0.5792,50,25
PA24,0.56,0.56,0.6206896551724138,0.5454545454545454,0.72,0.6175999999999999,50,25
PB01,0.66,0.66,0.6222222222222222,0.7,0.56,0.784,50,25
PB02,0.5,0.5,0.5454545454545454,0.5,0.6,0.5456,50,25
PB03,0.48,0.48,0.5517241379310345,0.48484848484848486,0.64,0.5392,50,25
PB04,0.44,0.44,0.44,0.44,0.44,0.4512,50,25
PB05,0.64,0.64,0.7096774193548387,0.5945945945945946,0.88,0.6448,50,25
PB06,0.52,0.52,0.6,0.5142857142857142,0.72,0.49279999999999996,50,25
PB07,0.6000000000000001,0.6,0.6296296296296297,0.5862068965517241,0.68,0.6928000000000001,50,25
PB08,0.6000000000000001,0.6,0.6666666666666666,0.5714285714285714,0.8,0.6464,50,25
PB10,0.6,0.6,0.6774193548387096,0.5675675675675675,0.84,0.7376,50,25
PB12,0.62,0.62,0.6274509803921569,0.6153846153846154,0.64,0.6624,50,25
PB13,0.48,0.48,0.48,0.48,0.48,0.45600000000000007,50,25
PB14,0.52,0.52,0.52,0.52,0.52,0.5296000000000001,50,25
PB15,0.48000000000000004,0.48,0.43478260869565216,0.47619047619047616,0.4,0.48319999999999996,50,25
PB16,0.6799999999999999,0.68,0.6521739130434783,0.7142857142857143,0.6,0.7472,50,25
PB17,0.62,0.62,0.6545454545454545,0.6,0.72,0.6848,50,25
PB18,0.7,0.7,0.6808510638297872,0.7272727272727273,0.64,0.808,50,25
