subject,balanced_accuracy,accuracy,f1,precision,recall,auc,n_test,n_pos
PA01,0.45999999999999996,0.46,0.2702702702702703,0.4166666666666667,0.2,0.41280000000000006,50,25
PA02,0.56,0.56,0.42105263157894735,0.6153846153846154,0.32,0.6288,50,25
PA03,0.54,0.54,0.25806451612903225,0.6666666666666666,0.16,0.6288,50,25
PA04,0.48000000000000004,0.48,0.35,0.4666666666666667,0.28,0.5344,50,25
PA05,0.45999999999999996,0.46,0.12903225806451613,0.3333333333333333,0.08,0.512,50,25
PA06,0.6799999999999999,0.68,0.6,0.8,0.48,0.8416,50,25
PA07,0.62,0.62,0.5128205128205128,0.7142857142857143,0.4,0.7904,50,25
PA08,0.6,0.6,0.375,0.8571428571428571,0.24,0.7488,50,25
PA10,0.62,0.62,0.5128205128205128,0.7142857142857143,0.4,0.6208,50,25
PA11,0.52,0.52,0.4,0.5333333333333333,0.32,0.4352,50,25
PA12,0.48000000000000004,0.48,0.23529411764705882,0.4444444444444444,0.16,0.5871999999999999,50,25
PA13,0.62,0.62,0.5128205128205128,0.7142857142857143,0.4,0.656,50,25
PA14,0.48,0.48,0.38095238095238093,0.47058823529411764,0.32,0.5408,50,25
PA15,0.58,0.58,0.27586206896551724,1.0,0.16,0.6672,50,25
PA16,0.56,0.56,0.35294117647058826,0.6666666666666666,0.24,0.6128,50,25
PA17,0.52,0.52,0.14285714285714285,0.6666666666666666,0.08,0.7183999999999999,50,25
PA18,0.46,0.46,0.06896551724137931,0.25,0.04,0.712,50,25
PA19,0.5,0.5,0.24242424242424243,0.5,0.16,0.6224000000000001,50,25
PA20,0.54,0.54,0.41025641025641024,0.5714285714285714,0.32,0.5247999999999999,50,25
PA21,0.6,0.6,0.3333333333333333,1.0,0.2,0.8224,50,25
PA22,0.58,0.58,0.27586206896551724,1.0,0.16,0.6432,50,25
PA24,0.5,0.5,0.32432432432432434,0.5,0.24,0.5888,50,25
PB01,0.56,0.56,0.3125,0.7142857142857143,0.2,0.752,50,25
PB02,0.64,0.64,0.47058823529411764,0.8888888888888888,0.32,0.6464000000000001,50,25
PB03,0.52,0.52,0.4,0.5333333333333333,0.32,0.6272,50,25
PB04,0.48,0.48,0.13333333333333333,0.4,0.08,0.4416,50,25
PB05,0.48,0.48,0.13333333333333333,0.4,0.08,0.6368,50,25
PB06,0.46,0.46,0.3076923076923077,0.42857142857142855,0.24,0.5136,50,25
PB07,0.46,0.46,0.06896551724137931,0.25,0.04,0.5760000000000001,50,25
PB08,0.6000000000000001,0.6,0.5833333333333334,0.6086956521739131,0.56,0.7056,50,25
PB10,0.64,0.64,0.55,0.7333333333333333,0.44,0.7312,50,25
PB12,0.54,0.54,0.14814814814814814,1.0,0.08,0.6752,50,25
PB13,0.58,0.58,0.27586206896551724,1.0,0.16,0.6192,50,25
PB14,0.45999999999999996,0.46,0.2702702702702703,0.4166666666666667,0.2,0.43200000000000005,50,25
PB15,0.5,0.5,0.0,0.0,0.0,0.6287999999999999,50,25
PB16,0.6,0.6,0.47368421052631576,0.6923076923076923,0.36,0.6736,50,25
PB17,0.54,0.54,0.25806451612903225,0.6666666666666666,0.16,0.6736000000000001,50,25
PB18,0.54,0.54,0.14814814814814814,1.0,0.08,0.696,50,25
