accuracy,balanced_accuracy,f1,precision,recall,auc,subject,n_test,n_pos
0.5,0.5,0.6666666666666666,0.5,1.0,,PA01,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PA02,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PA03,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PA04,50,25
0.52,0.52,0.5384615384615384,0.5185185185185185,0.56,,PA05,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PA06,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PA07,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PA08,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PA10,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PA11,50,25
0.42,0.42,0.5671641791044776,0.4523809523809524,0.76,,PA12,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PA13,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PA14,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PA15,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PA16,50,25
0.56,0.56,0.45,0.6,0.36,,PA17,50,25
0.58,0.5800000000000001,0.5333333333333333,0.6,0.48,,PA18,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PA19,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PA20,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PA21,50,25
0.54,0.54,0.6349206349206349,0.5263157894736842,0.8,,PA22,50,25
0.64,0.64,0.7096774193548387,0.5945945945945946,0.88,,PA24,50,25
0.58,0.5800000000000001,0.6181818181818182,0.5666666666666667,0.68,,PB01,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PB02,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PB03,50,25
0.42,0.42,0.5671641791044776,0.4523809523809524,0.76,,PB04,50,25
0.46,0.46,0.4,0.45,0.36,,PB05,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PB06,50,25
0.5,0.5,0.6376811594202898,0.5,0.88,,PB07,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PB08,50,25
0.54,0.54,0.6666666666666666,0.5227272727272727,0.92,,PB10,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PB12,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PB13,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PB14,50,25
0.48,0.48,0.5357142857142857,0.4838709677419355,0.6,,PB15,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PB16,50,25
0.56,0.56,0.56,0.56,0.56,,PB17,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PB18,50,25
