accuracy,balanced_accuracy,f1,precision,recall,auc,subject,n_test,n_pos
0.5,0.5,0.6666666666666666,0.5,1.0,,PA01,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PA02,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PA03,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PA04,50,25
0.5,0.5,0.4444444444444444,0.5,0.4,,PA05,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PA06,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PA07,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PA08,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PA10,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PA11,50,25
0.42,0.42,0.5084745762711864,0.4411764705882353,0.6,,PA12,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PA13,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PA14,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PA15,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PA16,50,25
0.48,0.48000000000000004,0.07142857142857142,0.3333333333333333,0.04,,PA17,50,25
0.58,0.58,0.43243243243243246,0.6666666666666666,0.32,,PA18,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PA19,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PA20,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PA21,50,25
0.58,0.5800000000000001,0.6440677966101694,0.5588235294117647,0.76,,PA22,50,25
0.6,0.6000000000000001,0.6666666666666666,0.5714285714285714,0.8,,PA24,50,25
0.62,0.6200000000000001,0.5957446808510638,0.6363636363636364,0.56,,PB01,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PB02,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PB03,50,25
0.48,0.48000000000000004,0.6060606060606061,0.4878048780487805,0.8,,PB04,50,25
0.54,0.54,0.20689655172413793,0.75,0.12,,PB05,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PB06,50,25
0.52,0.52,0.6470588235294118,0.5116279069767442,0.88,,PB07,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PB08,50,25
0.58,0.5800000000000001,0.6865671641791045,0.5476190476190477,0.92,,PB10,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PB12,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PB13,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PB14,50,25
0.5,0.5,0.3902439024390244,0.5,0.32,,PB15,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PB16,50,25
0.56,0.56,0.35294117647058826,0.6666666666666666,0.24,,PB17,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PB18,50,25
