accuracy,balanced_accuracy,f1,precision,recall,auc,subject,n_test,n_pos,avg_steps
0.5,0.5,0.576271186440678,0.5,0.68,,PA01,50,25,3.04
0.56,0.56,0.56,0.56,0.56,,PA02,50,25,2.92
0.56,0.56,0.45,0.6,0.36,,PA03,50,25,3.12
0.44,0.44,0.46153846153846156,0.4444444444444444,0.48,,PA04,50,25,3.0
0.54,0.54,0.46511627906976744,0.5555555555555556,0.4,,PA05,50,25,3.14
0.7,0.7,0.6511627906976745,0.7777777777777778,0.56,,PA06,50,25,3.16
0.64,0.64,0.5909090909090909,0.6842105263157895,0.52,,PA07,50,25,2.92
0.76,0.76,0.7,0.9333333333333333,0.56,,PA08,50,25,3.0
0.56,0.56,0.47619047619047616,0.5882352941176471,0.4,,PA10,50,25,3.22
0.5,0.5,0.5283018867924528,0.5,0.56,,PA11,50,25,3.06
0.5,0.5,0.5454545454545454,0.5,0.6,,PA12,50,25,3.24
0.62,0.6200000000000001,0.6415094339622641,0.6071428571428571,0.68,,PA13,50,25,2.96
0.4,0.4,0.4444444444444444,0.41379310344827586,0.48,,PA14,50,25,2.86
0.58,0.5800000000000001,0.6037735849056604,0.5714285714285714,0.64,,PA15,50,25,2.72
0.6,0.6000000000000001,0.5833333333333334,0.6086956521739131,0.56,,PA16,50,25,2.72
0.6,0.6,0.5238095238095238,0.6470588235294118,0.44,,PA17,50,25,2.94
0.56,0.56,0.5,0.5789473684210527,0.44,,PA18,50,25,2.8
0.46,0.45999999999999996,0.47058823529411764,0.46153846153846156,0.48,,PA19,50,25,3.02
0.42,0.42000000000000004,0.4727272727272727,0.43333333333333335,0.52,,PA20,50,25,2.84
0.6,0.6,0.6428571428571429,0.5806451612903226,0.72,,PA21,50,25,2.9
0.5,0.5,0.5098039215686274,0.5,0.52,,PA22,50,25,3.12
0.56,0.56,0.5416666666666666,0.5652173913043478,0.52,,PA24,50,25,3.1
0.6,0.6000000000000001,0.5,0.6666666666666666,0.4,,PB01,50,25,2.9
0.48,0.48000000000000004,0.43478260869565216,0.47619047619047616,0.4,,PB02,50,25,3.24
0.48,0.48000000000000004,0.5185185185185185,0.4827586206896552,0.56,,PB03,50,25,2.9
0.46,0.46,0.425531914893617,0.45454545454545453,0.4,,PB04,50,25,3.3
0.64,0.64,0.7096774193548387,0.5945945945945946,0.88,,PB05,50,25,2.8
0.62,0.6200000000000001,0.6415094339622641,0.6071428571428571,0.68,,PB06,50,25,3.1
0.58,0.5800000000000001,0.6037735849056604,0.5714285714285714,0.64,,PB07,50,25,3.04
0.6,0.6000000000000001,0.6296296296296297,0.5862068965517241,0.68,,PB08,50,25,2.82
0.64,0.64,0.7,0.6,0.84,,PB10,50,25,2.86
0.58,0.5800000000000001,0.5531914893617021,0.5909090909090909,0.52,,PB12,50,25,3.0
0.48,0.48,0.4583333333333333,0.4782608695652174,0.44,,PB13,50,25,2.92
0.54,0.54,0.43902439024390244,0.5625,0.36,,PB14,50,25,3.58
0.52,0.52,0.42857142857142855,0.5294117647058824,0.36,,PB15,50,25,2.94
0.7,0.7,0.6341463414634146,0.8125,0.52,,PB16,50,25,2.92
0.64,0.64,0.6538461538461539,0.6296296296296297,0.68,,PB17,50,25,3.18
0.68,0.6799999999999999,0.6521739130434783,0.7142857142857143,0.6,,PB18,50,25,2.98
