accuracy,balanced_accuracy,f1,precision,recall,auc,subject,n_test,n_pos,avg_steps
0.52,0.52,0.6,0.5142857142857142,0.72,,PA01,50,25,2.72
0.56,0.56,0.56,0.56,0.56,,PA02,50,25,2.68
0.52,0.52,0.4782608695652174,0.5238095238095238,0.44,,PA03,50,25,2.9
0.52,0.52,0.6,0.5142857142857142,0.72,,PA04,50,25,2.74
0.58,0.58,0.5116279069767442,0.6111111111111112,0.44,,PA05,50,25,2.96
0.72,0.72,0.7307692307692307,0.7037037037037037,0.76,,PA06,50,25,2.9
0.68,0.68,0.7142857142857143,0.6451612903225806,0.8,,PA07,50,25,2.68
0.72,0.72,0.6666666666666666,0.8235294117647058,0.56,,PA08,50,25,2.72
0.58,0.5800000000000001,0.6037735849056604,0.5714285714285714,0.64,,PA10,50,25,2.86
0.46,0.46,0.5423728813559322,0.47058823529411764,0.64,,PA11,50,25,2.98
0.48,0.48,0.5357142857142857,0.4838709677419355,0.6,,PA12,50,25,2.94
0.52,0.52,0.5714285714285714,0.5161290322580645,0.64,,PA13,50,25,2.7
0.48,0.48,0.5517241379310345,0.48484848484848486,0.64,,PA14,50,25,2.5
0.56,0.56,0.5769230769230769,0.5555555555555556,0.6,,PA15,50,25,2.56
0.6,0.6000000000000001,0.6296296296296297,0.5862068965517241,0.68,,PA16,50,25,2.46
0.66,0.66,0.6046511627906976,0.7222222222222222,0.52,,PA17,50,25,2.8
0.58,0.5800000000000001,0.5333333333333333,0.6,0.48,,PA18,50,25,2.64
0.54,0.54,0.5818181818181818,0.5333333333333333,0.64,,PA19,50,25,2.84
0.44,0.44,0.5172413793103449,0.45454545454545453,0.6,,PA20,50,25,2.64
0.6,0.6,0.6428571428571429,0.5806451612903226,0.72,,PA21,50,25,2.72
0.5,0.5,0.4897959183673469,0.5,0.48,,PA22,50,25,2.76
0.54,0.54,0.5964912280701754,0.53125,0.68,,PA24,50,25,2.94
0.52,0.52,0.07692307692307693,1.0,0.04,,PB01,50,25,1.48
0.5,0.5,0.07407407407407407,0.5,0.04,,PB02,50,25,1.46
0.5,0.5,0.07407407407407407,0.5,0.04,,PB03,50,25,1.42
0.5,0.5,0.07407407407407407,0.5,0.04,,PB04,50,25,1.52
0.56,0.56,0.21428571428571427,1.0,0.12,,PB05,50,25,1.52
0.52,0.52,0.14285714285714285,0.6666666666666666,0.08,,PB06,50,25,1.46
0.58,0.58,0.3225806451612903,0.8333333333333334,0.2,,PB07,50,25,1.42
0.54,0.54,0.14814814814814814,1.0,0.08,,PB08,50,25,1.46
0.52,0.52,0.14285714285714285,0.6666666666666666,0.08,,PB10,50,25,1.48
0.5,0.5,0.07407407407407407,0.5,0.04,,PB12,50,25,1.48
0.46,0.46,0.0,0.0,0.0,,PB13,50,25,1.44
0.52,0.52,0.14285714285714285,0.6666666666666666,0.08,,PB14,50,25,1.48
0.5,0.5,0.0,0.0,0.0,,PB15,50,25,1.5
0.46,0.46,0.0,0.0,0.0,,PB16,50,25,1.42
0.5,0.5,0.07407407407407407,0.5,0.04,,PB17,50,25,1.42
0.52,0.52,0.07692307692307693,1.0,0.04,,PB18,50,25,1.46
