accuracy,balanced_accuracy,f1,precision,recall,auc,subject,n_test,n_pos
0.59,0.59,0.5287356321839081,0.6216216216216216,0.46,,PA01,100,50
0.58,0.5800000000000001,0.5625,0.5869565217391305,0.54,,PA02,100,50
0.5,0.5,0.5454545454545454,0.5,0.6,,PA03,100,50
0.56,0.5599999999999999,0.40540540540540543,0.625,0.3,,PA04,100,50
0.4,0.39999999999999997,0.2682926829268293,0.34375,0.22,,PA05,100,50
0.63,0.63,0.6262626262626263,0.6326530612244898,0.62,,PA06,100,50
0.48,0.48,0.21212121212121213,0.4375,0.14,,PA07,100,50
0.69,0.69,0.6804123711340206,0.7021276595744681,0.66,,PA08,100,50
0.57,0.5700000000000001,0.5825242718446602,0.5660377358490566,0.6,,PA10,100,50
0.4,0.4,0.4642857142857143,0.41935483870967744,0.52,,PA11,100,50
0.47,0.47,0.3614457831325301,0.45454545454545453,0.3,,PA12,100,50
0.53,0.53,0.37333333333333335,0.56,0.28,,PA13,100,50
0.46,0.46,0.18181818181818182,0.375,0.12,,PA14,100,50
0.58,0.58,0.671875,0.5512820512820513,0.86,,PA15,100,50
0.47,0.47,0.3116883116883117,0.4444444444444444,0.24,,PA16,100,50
0.67,0.6699999999999999,0.6972477064220184,0.6440677966101694,0.76,,PA17,100,50
0.41,0.41000000000000003,0.09230769230769231,0.2,0.06,,PA18,100,50
0.48,0.48,0.6231884057971014,0.48863636363636365,0.86,,PA19,100,50
0.34,0.33999999999999997,0.3888888888888889,0.3620689655172414,0.42,,PA20,100,50
0.53,0.53,0.5346534653465347,0.5294117647058824,0.54,,PA21,100,50
0.51,0.51,0.3466666666666667,0.52,0.26,,PA22,100,50
0.59,0.59,0.5287356321839081,0.6216216216216216,0.46,,PA24,100,50
0.43,0.43000000000000005,0.3448275862068966,0.40540540540540543,0.3,,PB01,100,50
0.53,0.53,0.4050632911392405,0.5517241379310345,0.32,,PB02,100,50
0.48,0.48,0.48,0.48,0.48,,PB03,100,50
0.59,0.5900000000000001,0.6238532110091743,0.576271186440678,0.68,,PB04,100,50
0.54,0.54,0.5306122448979592,0.5416666666666666,0.52,,PB05,100,50
0.48,0.48,0.48,0.48,0.48,,PB06,100,50
0.47,0.47,0.4421052631578947,0.4666666666666667,0.42,,PB07,100,50
0.46,0.45999999999999996,0.37209302325581395,0.4444444444444444,0.32,,PB08,100,50
0.45,0.45,0.5528455284552846,0.4657534246575342,0.68,,PB10,100,50
0.56,0.5599999999999999,0.6811594202898551,0.5340909090909091,0.94,,PB12,100,50
0.51,0.51,0.6259541984732825,0.5061728395061729,0.82,,PB13,100,50
0.39,0.39,0.39603960396039606,0.39215686274509803,0.4,,PB14,100,50
0.48,0.48000000000000004,0.43478260869565216,0.47619047619047616,0.4,,PB15,100,50
0.63,0.63,0.6336633663366337,0.6274509803921569,0.64,,PB16,100,50
0.55,0.55,0.628099173553719,0.5352112676056338,0.76,,PB17,100,50
0.47,0.47,0.4854368932038835,0.4716981132075472,0.5,,PB18,100,50
