accuracy,balanced_accuracy,f1,precision,recall,auc,subject,n_test,n_pos
0.54,0.54,0.23333333333333334,0.7,0.14,,PA01,100,50
0.51,0.51,0.07547169811320754,0.6666666666666666,0.04,,PA02,100,50
0.53,0.53,0.22950819672131148,0.6363636363636364,0.14,,PA03,100,50
0.5,0.5,0.038461538461538464,0.5,0.02,,PA04,100,50
0.44,0.44,0.0,0.0,0.0,,PA05,100,50
0.49,0.49,0.0,0.0,0.0,,PA06,100,50
0.51,0.51,0.0392156862745098,1.0,0.02,,PA07,100,50
0.58,0.58,0.3,0.9,0.18,,PA08,100,50
0.5,0.5,0.0,0.0,0.0,,PA10,100,50
0.49,0.49,0.10526315789473684,0.42857142857142855,0.06,,PA11,100,50
0.47,0.47,0.18461538461538463,0.4,0.12,,PA12,100,50
0.47,0.47000000000000003,0.208955223880597,0.4117647058823529,0.14,,PA13,100,50
0.47,0.47000000000000003,0.07017543859649122,0.2857142857142857,0.04,,PA14,100,50
0.48,0.48,0.38095238095238093,0.47058823529411764,0.32,,PA15,100,50
0.5,0.5,0.13793103448275862,0.5,0.08,,PA16,100,50
0.58,0.5800000000000001,0.36363636363636365,0.75,0.24,,PA17,100,50
0.5,0.5,0.1935483870967742,0.5,0.12,,PA18,100,50
0.48,0.48,0.16129032258064516,0.4166666666666667,0.1,,PA19,100,50
0.45,0.45,0.0,0.0,0.0,,PA20,100,50
0.46,0.46,0.18181818181818182,0.375,0.12,,PA21,100,50
0.53,0.53,0.3380281690140845,0.5714285714285714,0.24,,PA22,100,50
0.49,0.49,0.0,0.0,0.0,,PA24,100,50
0.5,0.5,0.1935483870967742,0.5,0.12,,PB01,100,50
0.45,0.45,0.03508771929824561,0.14285714285714285,0.02,,PB02,100,50
0.5,0.5,0.1935483870967742,0.5,0.12,,PB03,100,50
0.52,0.52,0.22580645161290322,0.5833333333333334,0.14,,PB04,100,50
0.55,0.55,0.3076923076923077,0.6666666666666666,0.2,,PB05,100,50
0.5,0.5,0.038461538461538464,0.5,0.02,,PB06,100,50
0.5,0.5,0.2857142857142857,0.5,0.2,,PB07,100,50
0.5,0.5,0.0,0.0,0.0,,PB08,100,50
0.45,0.44999999999999996,0.26666666666666666,0.4,0.2,,PB10,100,50
0.51,0.51,0.19672131147540983,0.5454545454545454,0.12,,PB12,100,50
0.57,0.5700000000000001,0.5168539325842697,0.5897435897435898,0.46,,PB13,100,50
0.51,0.51,0.07547169811320754,0.6666666666666666,0.04,,PB14,100,50
0.56,0.56,0.37142857142857144,0.65,0.26,,PB15,100,50
0.49,0.49,0.10526315789473684,0.42857142857142855,0.06,,PB16,100,50
0.45,0.45,0.2028985507246377,0.3684210526315789,0.14,,PB17,100,50
0.44,0.44000000000000006,0.2631578947368421,0.38461538461538464,0.2,,PB18,100,50
