subject,balanced_accuracy,f1,n_test,n_pos
PA01,0.449,0.162,1305,201
PA02,0.518,0.252,828,150
PA03,0.473,0.278,1151,339
PA04,0.544,0.375,814,551
PA05,0.495,0.29,836,255
PA06,0.647,0.658,441,276
PA07,0.508,0.11,1030,602
PA08,0.667,0.431,882,139
PA10,0.539,0.4,389,237
PA11,0.469,0.242,290,150
PA12,0.495,0.204,641,154
PA13,0.481,0.034,1080,174
PA14,0.504,0.164,991,381
PA15,0.567,0.25,1008,130
PA16,0.487,0.075,976,338
PA17,0.548,0.402,949,542
PA18,0.498,0.123,345,84
PA19,0.453,0.371,482,205
PA20,0.464,0.28,718,281
