subject,accuracy,balanced_accuracy,f1,precision,recall,n_test,n_pos,auc
PA01,0.20383141762452106,0.43584387843391736,0.22979985174203113,0.13501742160278746,0.7711442786069652,1305,201,0.43284483380200445
PA02,0.22584541062801933,0.514306784660767,0.31149301825993553,0.1856594110115237,0.9666666666666667,828,150,0.5467453294001966
PA03,0.3336229365768897,0.5036528038130113,0.4478041756659467,0.29619047619047617,0.9174041297935103,1151,339,0.6374696659255707
PA04,0.6818181818181818,0.5085982624057193,0.8094186902133922,0.6806930693069307,0.9981851179673321,814,551,0.5509857638721164
PA05,0.30980861244019137,0.4836387567075023,0.4509990485252141,0.29773869346733667,0.9294117647058824,836,255,0.47731767405757486
PA06,0.6167800453514739,0.4927536231884058,0.7629733520336606,0.6224256292906178,0.9855072463768116,441,276,0.38939393939393935
PA07,0.6398058252427185,0.5716536777719129,0.7598705501618123,0.6224814422057264,0.9750830564784053,1030,602,0.6646225975719564
PA08,0.2222222222222222,0.5354338332833061,0.2869022869022869,0.16767922235722965,0.9928057553956835,882,139,0.7392062124190284
PA10,0.5886889460154242,0.48666166999777927,0.738562091503268,0.6026666666666667,0.9535864978902954,389,237,0.5927714856762158
PA11,0.5379310344827586,0.5219047619047619,0.6883720930232559,0.5285714285714286,0.9866666666666667,290,150,0.6535714285714286
PA12,0.2948517940717629,0.5203938771700579,0.3941018766756032,0.2483108108108108,0.9545454545454546,641,154,0.6325102002720073
PA13,0.2935185185185185,0.5626665144249068,0.30446672743846853,0.180931744312026,0.9597701149425287,1080,174,0.6468435208444343
PA14,0.3955600403632694,0.4996557807323265,0.54724111866969,0.3842887473460722,0.9501312335958005,991,381,0.504771739598124
PA15,0.25992063492063494,0.5391273874189592,0.241869918699187,0.13934426229508196,0.9153846153846154,1008,130,0.6106798668302085
PA16,0.3698770491803279,0.490201443119215,0.4921552436003303,0.3413516609392898,0.8816568047337278,976,338,0.5407569883697204
PA17,0.613277133825079,0.5570958412286826,0.7376697641172266,0.6021003500583431,0.9520295202952029,949,542,0.5787283425659809
PA18,0.37971014492753624,0.5456349206349207,0.40555555555555556,0.2644927536231884,0.8690476190476191,345,84,0.6592318919905127
PA19,0.45643153526970953,0.5156643479792199,0.5880503144654088,0.43387470997679817,0.9121951219512195,482,205,0.48548032050717616
PA20,0.4178272980501393,0.5103056263589502,0.5572033898305084,0.39668174962292607,0.9359430604982206,718,281,0.5752583532170982
PA21,0.6254107338444688,0.538776145168413,0.7546628407460545,0.6247030878859857,0.9528985507246377,913,552,0.6753984503593078
PA22,0.3675564681724846,0.5012101363435765,0.5087719298245614,0.34863387978142074,0.9410029498525073,974,339,0.5525004064757393
PA24,0.5418552036199095,0.5307909025714578,0.6778042959427207,0.5305105853051059,0.9383259911894273,884,454,0.6382081753918656
PB01,0.23927613941018766,0.5152494108405341,0.1875447387258411,0.10522088353413654,0.8618421052631579,1492,152,0.5804840926944226
PB02,0.18353831598864712,0.5196995708154506,0.21758839528558477,0.12269938650306748,0.96,1057,125,0.6416652360515022
PB03,0.4222001982160555,0.49911304628285763,0.5879858657243816,0.41977800201816345,0.9811320754716981,1009,424,0.5577850346718272
PB04,0.3239962651727358,0.5211640211640212,0.465288035450517,0.30317613089509143,1.0,1071,315,0.5952380952380952
PB05,0.6698795180722892,0.49213937480137127,0.8008720930232558,0.684472049689441,0.9649737302977233,830,571,0.5322843483964325
PB06,0.3862745098039216,0.5294290496084217,0.5257575757575758,0.35810113519091846,0.9886039886039886,1020,351,0.651382554222614
PB07,0.44884488448844884,0.5579359460687454,0.5466063348416289,0.38618925831202044,0.934984520123839,909,323,0.7177960460275362
PB08,0.3491891891891892,0.5164114140061348,0.4863481228668942,0.3242320819112628,0.9726962457337884,925,293,0.6248055903572818
PB10,0.1977401129943503,0.4705618236242229,0.3016393442622951,0.1807465618860511,0.9108910891089109,531,101,0.5297720469721391
PB12,0.283175355450237,0.5086067270469121,0.4177093358999038,0.265281173594132,0.9819004524886877,844,221,0.6646136414807928
PB13,0.24773413897280966,0.4968527640941434,0.34300791556728233,0.21035598705501618,0.9285714285714286,993,210,0.5299519552393116
PB14,0.2926829268292683,0.5099376829383439,0.4376731301939058,0.2804733727810651,0.9957983193277311,861,238,0.6344740143248311
PB15,0.15531660692951016,0.5157534246575343,0.23235613463626492,0.13144963144963145,1.0,837,107,0.6594802202022788
PB16,0.30094637223974763,0.5627978875788208,0.3543123543123543,0.2157558552164656,0.990228013029316,1585,307,0.6638566469391812
PB17,0.19550561797752808,0.505524861878453,0.31679389312977096,0.18820861678004536,1.0,890,166,0.4645793117220262
PB18,0.25158562367864695,0.5336089353060632,0.33458646616541354,0.20135746606334842,0.9888888888888889,946,180,0.7806208297069915
