subject,accuracy,balanced_accuracy,f1,precision,recall,n_test,n_pos,auc
PA01,0.36015325670498083,0.4916112372918019,0.24706943192064923,0.15088105726872247,0.681592039800995,1305,201,0.4950383949816137
PA02,0.39009661835748793,0.5548967551622419,0.3257676902536716,0.2036727879799666,0.8133333333333334,828,150,0.6159587020648968
PA03,0.4917463075586447,0.5753411221064563,0.4743935309973046,0.34108527131782945,0.7787610619469026,1151,339,0.6191747678625922
PA04,0.597051597051597,0.5036194130271267,0.7206132879045997,0.6789727126805778,0.7676950998185118,814,551,0.5476044247237998
PA05,0.3576555023923445,0.4795551955722048,0.4293304994686504,0.2944606413994169,0.792156862745098,836,255,0.48437784752455204
PA06,0.6530612244897959,0.5985177865612648,0.746268656716418,0.6880733944954128,0.8152173913043478,441,276,0.6759991216512955
PA07,0.6349514563106796,0.6005914863228491,0.7202380952380952,0.6522911051212938,0.8039867109634552,1030,602,0.6652629863073246
PA08,0.5056689342403629,0.6247179914211296,0.3373860182370821,0.2138728323699422,0.7985611510791367,882,139,0.7461293414797099
PA10,0.6298200514138818,0.5723267821452365,0.7333333333333333,0.6534653465346535,0.8354430379746836,389,237,0.607372862536087
PA11,0.5724137931034483,0.5645238095238095,0.6574585635359116,0.5613207547169812,0.7933333333333333,290,150,0.6287142857142858
PA12,0.41341653666146644,0.558461558974906,0.4069400630914827,0.26875,0.8376623376623377,641,154,0.6370036534307583
PA13,0.3861111111111111,0.5946372840070031,0.32139201637666326,0.19551681195516812,0.9022988505747126,1080,174,0.6537007434472609
PA14,0.47325933400605447,0.5337033690460824,0.5372340425531915,0.40562248995983935,0.7952755905511811,991,381,0.5599845101329547
PA15,0.48214285714285715,0.5847730856842475,0.2647887323943662,0.16206896551724137,0.7230769230769231,1008,130,0.6521464867706326
PA16,0.45286885245901637,0.5237706590491736,0.4885057471264368,0.3611898016997167,0.7544378698224852,976,338,0.5797355827196676
PA17,0.5879873551106428,0.5631068841400945,0.6717044500419815,0.6163328197226502,0.7380073800738007,949,542,0.6029085106575881
PA18,0.5130434782608696,0.6055008210180624,0.44,0.3055555555555556,0.7857142857142857,345,84,0.6535303776683087
PA19,0.475103734439834,0.5147926389011183,0.5584642233856894,0.43478260869565216,0.7804878048780488,482,205,0.5002025182706701
PA20,0.47075208913649025,0.51630740164662,0.5177664974619289,0.40236686390532544,0.7259786476868327,718,281,0.5214133895779213
PA21,0.6166484118291348,0.5689108354410053,0.7154471544715447,0.6489675516224189,0.7971014492753623,913,552,0.6259083062346943
PA22,0.4383983572895277,0.5115392655564072,0.4824976348155156,0.3551532033426184,0.7522123893805309,974,339,0.543399995354563
PA24,0.5678733031674208,0.5621452720008195,0.6476014760147601,0.5571428571428572,0.7731277533039648,884,454,0.6310316565925623
PB01,0.5683646112600537,0.6547132757266301,0.2648401826484018,0.16022099447513813,0.7631578947368421,1492,152,0.7111400235663787
PB02,0.3661305581835383,0.5539699570815451,0.22988505747126436,0.1342281879194631,0.8,1057,125,0.5871931330472102
PB03,0.4400396432111001,0.4950249959683922,0.557556773688332,0.41735052754982416,0.839622641509434,1009,424,0.5485042735042736
PB04,0.450046685340803,0.5724867724867725,0.48197009674582236,0.3333333333333333,0.8698412698412699,1071,315,0.6191064079952969
PB05,0.6662650602409639,0.5686257936695766,0.7735077677841373,0.7254601226993865,0.8283712784588442,830,571,0.6046156238800722
PB06,0.4950980392156863,0.5792099446807968,0.5364536453645364,0.39210526315789473,0.8490028490028491,1020,351,0.631571550854062
PB07,0.4730473047304731,0.5398857764769281,0.5097236438075742,0.38073394495412843,0.7708978328173375,909,323,0.592313950908188
PB08,0.4043243243243243,0.5000081004017799,0.4473420260782347,0.31676136363636365,0.7610921501706485,925,293,0.5306897222102216
PB10,0.2806026365348399,0.5217246143218973,0.3250883392226148,0.1978494623655914,0.9108910891089109,531,101,0.5990789776652082
PB12,0.33293838862559244,0.5145769630237575,0.4129301355578728,0.2682926829268293,0.8959276018099548,844,221,0.6868894489515771
PB13,0.3434038267875126,0.49827586206896557,0.33059548254620125,0.2107329842931937,0.7666666666666667,993,210,0.49681323359484275
PB14,0.3612078977932636,0.5105514115758663,0.4222689075630252,0.2815126050420168,0.8445378151260504,861,238,0.5233891309332721
PB15,0.4540023894862604,0.567347330687492,0.2520458265139116,0.1527777777777778,0.719626168224299,837,107,0.607137370375112
PB16,0.4750788643533123,0.5816842786723964,0.35802469135802467,0.2345803842264914,0.755700325732899,1585,307,0.607104443526887
PB17,0.28314606741573034,0.5106420155761167,0.3125,0.19028871391076116,0.8734939759036144,890,166,0.6293266990614391
PB18,0.3583509513742072,0.5506599941978533,0.33805888767720826,0.21031207598371776,0.8611111111111112,946,180,0.7033362344067305
