subject,balanced_accuracy,accuracy,f1,precision,recall,auc,n_test,n_pos
PA01,0.44,0.44,0.391304347826087,0.42857142857142855,0.36,0.4352,50,25
PA02,0.5800000000000001,0.58,0.4878048780487805,0.625,0.4,0.6144000000000001,50,25
PA03,0.5800000000000001,0.58,0.4,0.7,0.28,0.5856,50,25
PA04,0.5,0.5,0.4186046511627907,0.5,0.36,0.5088,50,25
PA05,0.46,0.46,0.22857142857142856,0.4,0.16,0.5551999999999999,50,25
PA06,0.78,0.78,0.7555555555555555,0.85,0.68,0.8847999999999999,50,25
PA07,0.7,0.7,0.6938775510204082,0.7083333333333334,0.68,0.808,50,25
PA08,0.64,0.64,0.47058823529411764,0.8888888888888888,0.32,0.7872000000000001,50,25
PA10,0.52,0.52,0.52,0.52,0.52,0.6112,50,25
PA11,0.48,0.48,0.5,0.48148148148148145,0.52,0.4272,50,25
PA12,0.54,0.54,0.46511627906976744,0.5555555555555556,0.4,0.5856,50,25
PA13,0.64,0.64,0.5909090909090909,0.6842105263157895,0.52,0.6464,50,25
PA14,0.54,0.54,0.5490196078431373,0.5384615384615384,0.56,0.536,50,25
PA15,0.6000000000000001,0.6,0.5,0.6666666666666666,0.4,0.6768000000000001,50,25
PA16,0.62,0.62,0.5581395348837209,0.6666666666666666,0.48,0.6416000000000001,50,25
PA17,0.64,0.64,0.5,0.8181818181818182,0.36,0.7263999999999999,50,25
PA18,0.52,0.52,0.29411764705882354,0.5555555555555556,0.2,0.6624,50,25
PA19,0.46,0.46,0.34146341463414637,0.4375,0.28,0.56,50,25
PA20,0.5,0.5,0.4444444444444444,0.5,0.4,0.504,50,25
PA21,0.72,0.72,0.65,0.8666666666666667,0.52,0.792,50,25
PA22,0.64,0.64,0.47058823529411764,0.8888888888888888,0.32,0.6192,50,25
PA24,0.46,0.46,0.4,0.45,0.36,0.5936,50,25
PB01,0.66,0.66,0.5405405405405406,0.8333333333333334,0.4,0.7824,50,25
PB02,0.6,0.6,0.47368421052631576,0.6923076923076923,0.36,0.6080000000000001,50,25
PB03,0.6000000000000001,0.6,0.5833333333333334,0.6086956521739131,0.56,0.5872,50,25
PB04,0.48,0.48,0.1875,0.42857142857142855,0.12,0.44799999999999995,50,25
PB05,0.54,0.54,0.43902439024390244,0.5625,0.36,0.6496000000000001,50,25
PB06,0.48,0.48,0.48,0.48,0.48,0.496,50,25
PB07,0.56,0.56,0.42105263157894735,0.6153846153846154,0.32,0.6368,50,25
PB08,0.6,0.6,0.6428571428571429,0.5806451612903226,0.72,0.6832,50,25
PB10,0.6599999999999999,0.66,0.6792452830188679,0.6428571428571429,0.72,0.7568,50,25
PB12,0.52,0.52,0.29411764705882354,0.5555555555555556,0.2,0.6896,50,25
PB13,0.52,0.52,0.3684210526315789,0.5384615384615384,0.28,0.5408,50,25
PB14,0.52,0.52,0.4,0.5333333333333333,0.32,0.4528,50,25
PB15,0.48000000000000004,0.48,0.07142857142857142,0.3333333333333333,0.04,0.544,50,25
PB16,0.5800000000000001,0.58,0.4878048780487805,0.625,0.4,0.7248,50,25
PB17,0.6,0.6,0.47368421052631576,0.6923076923076923,0.36,0.6816,50,25
PB18,0.62,0.62,0.45714285714285713,0.8,0.32,0.7856000000000001,50,25
