accuracy,balanced_accuracy,f1,precision,recall,auc,subject,n_test,n_pos
0.56,0.56,0.6071428571428571,0.5483870967741935,0.68,,PA01,50,25
0.48,0.48000000000000004,0.6060606060606061,0.4878048780487805,0.8,,PA02,50,25
0.54,0.54,0.676056338028169,0.5217391304347826,0.96,,PA03,50,25
0.42,0.42000000000000004,0.5245901639344263,0.4444444444444444,0.64,,PA04,50,25
0.52,0.52,0.6756756756756757,0.5102040816326531,1.0,,PA05,50,25
0.34,0.34,0.4406779661016949,0.38235294117647056,0.52,,PA06,50,25
0.46,0.45999999999999996,0.6086956521739131,0.4772727272727273,0.84,,PA07,50,25
0.56,0.56,0.6666666666666666,0.5365853658536586,0.88,,PA08,50,25
0.66,0.6599999999999999,0.7384615384615385,0.6,0.96,,PA10,50,25
0.54,0.54,0.684931506849315,0.5208333333333334,1.0,,PA11,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PA12,50,25
0.56,0.56,0.5769230769230769,0.5555555555555556,0.6,,PA13,50,25
0.48,0.48,0.6285714285714286,0.4888888888888889,0.88,,PA14,50,25
0.38,0.38,0.43636363636363634,0.4,0.48,,PA15,50,25
0.58,0.58,0.704225352112676,0.5434782608695652,1.0,,PA16,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PA17,50,25
0.56,0.56,0.6944444444444444,0.5319148936170213,1.0,,PA18,50,25
0.5,0.5,0.6268656716417911,0.5,0.84,,PA19,50,25
0.52,0.52,0.6363636363636364,0.5121951219512195,0.84,,PA20,50,25
0.34,0.34,0.4406779661016949,0.38235294117647056,0.52,,PA21,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PA22,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PA24,50,25
0.44,0.44,0.6111111111111112,0.46808510638297873,0.88,,PB01,50,25
0.52,0.52,0.5,0.5217391304347826,0.48,,PB02,50,25
0.46,0.46,0.5970149253731343,0.47619047619047616,0.8,,PB03,50,25
0.52,0.52,0.6571428571428571,0.5111111111111111,0.92,,PB04,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PB05,50,25
0.5,0.5,0.6031746031746031,0.5,0.76,,PB06,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PB07,50,25
0.54,0.54,0.684931506849315,0.5208333333333334,1.0,,PB08,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PB10,50,25
0.44,0.44,0.5757575757575758,0.4634146341463415,0.76,,PB12,50,25
0.46,0.46,0.6301369863013698,0.4791666666666667,0.92,,PB13,50,25
0.52,0.52,0.6666666666666666,0.5106382978723404,0.96,,PB14,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PB15,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PB16,50,25
0.52,0.52,0.6756756756756757,0.5102040816326531,1.0,,PB17,50,25
0.6,0.6,0.6551724137931034,0.5757575757575758,0.76,,PB18,50,25
