accuracy,balanced_accuracy,f1,precision,recall,auc,subject,n_test,n_pos
0.56,0.5599999999999999,0.6857142857142857,0.5333333333333333,0.96,,PA01,50,25
0.46,0.45999999999999996,0.6086956521739131,0.4772727272727273,0.84,,PA02,50,25
0.52,0.52,0.6666666666666666,0.5106382978723404,0.96,,PA03,50,25
0.54,0.54,0.676056338028169,0.5217391304347826,0.96,,PA04,50,25
0.52,0.52,0.6756756756756757,0.5102040816326531,1.0,,PA05,50,25
0.54,0.54,0.684931506849315,0.5208333333333334,1.0,,PA06,50,25
0.54,0.54,0.676056338028169,0.5217391304347826,0.96,,PA07,50,25
0.6,0.6,0.7058823529411765,0.5581395348837209,0.96,,PA08,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PA10,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PA11,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PA12,50,25
0.6,0.6,0.6774193548387096,0.5675675675675675,0.84,,PA13,50,25
0.48,0.48,0.6285714285714286,0.4888888888888889,0.88,,PA14,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PA15,50,25
0.48,0.48,0.6486486486486487,0.4897959183673469,0.96,,PA16,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PA17,50,25
0.56,0.56,0.6944444444444444,0.5319148936170213,1.0,,PA18,50,25
0.52,0.52,0.6756756756756757,0.5102040816326531,1.0,,PA19,50,25
0.54,0.54,0.684931506849315,0.5208333333333334,1.0,,PA20,50,25
0.52,0.52,0.6756756756756757,0.5102040816326531,1.0,,PA21,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PA22,50,25
0.48,0.48,0.6486486486486487,0.4897959183673469,0.96,,PA24,50,25
0.48,0.48,0.6486486486486487,0.4897959183673469,0.96,,PB01,50,25
0.52,0.52,0.6571428571428571,0.5111111111111111,0.92,,PB02,50,25
0.48,0.48,0.6486486486486487,0.4897959183673469,0.96,,PB03,50,25
0.52,0.52,0.6756756756756757,0.5102040816326531,1.0,,PB04,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PB05,50,25
0.5,0.5,0.647887323943662,0.5,0.92,,PB06,50,25
0.48,0.48,0.6486486486486487,0.4897959183673469,0.96,,PB07,50,25
0.52,0.52,0.6756756756756757,0.5102040816326531,1.0,,PB08,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PB10,50,25
0.54,0.54,0.684931506849315,0.5208333333333334,1.0,,PB12,50,25
0.48,0.48,0.6486486486486487,0.4897959183673469,0.96,,PB13,50,25
0.52,0.52,0.6756756756756757,0.5102040816326531,1.0,,PB14,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PB15,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PB16,50,25
0.52,0.52,0.6756756756756757,0.5102040816326531,1.0,,PB17,50,25
0.52,0.52,0.6666666666666666,0.5106382978723404,0.96,,PB18,50,25
