accuracy,balanced_accuracy,f1,precision,recall,auc,subject,n_test,n_pos
0.5,0.5,0.6268656716417911,0.5,0.84,,PA01,50,25
0.62,0.62,0.7076923076923077,0.575,0.92,,PA02,50,25
0.38,0.38,0.16216216216216217,0.25,0.12,,PA03,50,25
0.52,0.52,0.5555555555555556,0.5172413793103449,0.6,,PA04,50,25
0.46,0.46,0.6197183098591549,0.4782608695652174,0.88,,PA05,50,25
0.52,0.52,0.14285714285714285,0.6666666666666666,0.08,,PA06,50,25
0.62,0.62,0.5777777777777777,0.65,0.52,,PA07,50,25
0.68,0.6799999999999999,0.7333333333333333,0.6285714285714286,0.88,,PA08,50,25
0.56,0.56,0.21428571428571427,1.0,0.12,,PA10,50,25
0.48,0.48,0.5,0.48148148148148145,0.52,,PA11,50,25
0.4,0.39999999999999997,0.5454545454545454,0.43902439024390244,0.72,,PA12,50,25
0.42,0.42000000000000004,0.32558139534883723,0.3888888888888889,0.28,,PA13,50,25
0.48,0.48000000000000004,0.35,0.4666666666666667,0.28,,PA14,50,25
0.52,0.52,0.6470588235294118,0.5116279069767442,0.88,,PA15,50,25
0.42,0.42,0.5538461538461539,0.45,0.72,,PA16,50,25
0.44,0.44,0.6111111111111112,0.46808510638297873,0.88,,PA17,50,25
0.46,0.45999999999999996,0.6086956521739131,0.4772727272727273,0.84,,PA18,50,25
0.52,0.52,0.6666666666666666,0.5106382978723404,0.96,,PA19,50,25
0.46,0.46,0.5970149253731343,0.47619047619047616,0.8,,PA20,50,25
0.5,0.5,0.6376811594202898,0.5,0.88,,PA21,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PA22,50,25
0.52,0.52,0.6756756756756757,0.5102040816326531,1.0,,PA24,50,25
0.46,0.45999999999999996,0.6086956521739131,0.4772727272727273,0.84,,PB01,50,25
0.4,0.4,0.375,0.391304347826087,0.36,,PB02,50,25
0.6,0.6000000000000001,0.6296296296296297,0.5862068965517241,0.68,,PB03,50,25
0.54,0.54,0.684931506849315,0.5208333333333334,1.0,,PB04,50,25
0.58,0.58,0.6956521739130435,0.5454545454545454,0.96,,PB05,50,25
0.6,0.6,0.47368421052631576,0.6923076923076923,0.36,,PB06,50,25
0.5,0.5,0.46808510638297873,0.5,0.44,,PB07,50,25
0.54,0.54,0.6567164179104478,0.5238095238095238,0.88,,PB08,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PB10,50,25
0.54,0.54,0.684931506849315,0.5208333333333334,1.0,,PB12,50,25
0.5,0.5,0.6575342465753424,0.5,0.96,,PB13,50,25
0.6,0.6000000000000001,0.6153846153846154,0.5925925925925926,0.64,,PB14,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PB15,50,25
0.52,0.52,0.6,0.5142857142857142,0.72,,PB16,50,25
0.54,0.54,0.684931506849315,0.5208333333333334,1.0,,PB17,50,25
0.58,0.5800000000000001,0.676923076923077,0.55,0.88,,PB18,50,25
