accuracy,balanced_accuracy,f1,precision,recall,auc,subject,n_test,n_pos
0.46,0.46,0.22857142857142856,0.4,0.16,,PA01,50,25
0.62,0.62,0.4864864864864865,0.75,0.36,,PA02,50,25
0.5,0.5,0.6153846153846154,0.5,0.8,,PA03,50,25
0.48,0.48,0.5357142857142857,0.4838709677419355,0.6,,PA04,50,25
0.42,0.42000000000000004,0.5797101449275363,0.45454545454545453,0.8,,PA05,50,25
0.56,0.56,0.35294117647058826,0.6666666666666666,0.24,,PA06,50,25
0.44,0.44,0.46153846153846156,0.4444444444444444,0.48,,PA07,50,25
0.54,0.54,0.43902439024390244,0.5625,0.36,,PA08,50,25
0.58,0.5800000000000001,0.676923076923077,0.55,0.88,,PA10,50,25
0.6,0.6,0.3333333333333333,1.0,0.2,,PA11,50,25
0.58,0.58,0.6956521739130435,0.5454545454545454,0.96,,PA12,50,25
0.5,0.5,0.4444444444444444,0.5,0.4,,PA13,50,25
0.44,0.44,0.5333333333333333,0.45714285714285713,0.64,,PA14,50,25
0.54,0.54,0.5106382978723404,0.5454545454545454,0.48,,PA15,50,25
0.7,0.7,0.6341463414634146,0.8125,0.52,,PA16,50,25
0.5,0.5,0.6575342465753424,0.5,0.96,,PA17,50,25
0.42,0.42,0.4528301886792453,0.42857142857142855,0.48,,PA18,50,25
0.44,0.44,0.5333333333333333,0.45714285714285713,0.64,,PA19,50,25
0.36,0.36,0.4838709677419355,0.40540540540540543,0.6,,PA20,50,25
0.42,0.42,0.17142857142857143,0.3,0.12,,PA21,50,25
0.38,0.38,0.4918032786885246,0.4166666666666667,0.6,,PA22,50,25
0.52,0.52,0.6666666666666666,0.5106382978723404,0.96,,PA24,50,25
0.5,0.5,0.6575342465753424,0.5,0.96,,PB01,50,25
0.58,0.58,0.43243243243243246,0.6666666666666666,0.32,,PB02,50,25
0.44,0.44000000000000006,0.36363636363636365,0.42105263157894735,0.32,,PB03,50,25
0.58,0.5800000000000001,0.6865671641791045,0.5476190476190477,0.92,,PB04,50,25
0.48,0.48,0.6285714285714286,0.4888888888888889,0.88,,PB05,50,25
0.52,0.52,0.5384615384615384,0.5185185185185185,0.56,,PB06,50,25
0.52,0.52,0.6666666666666666,0.5106382978723404,0.96,,PB07,50,25
0.66,0.66,0.5641025641025641,0.7857142857142857,0.44,,PB08,50,25
0.48,0.48000000000000004,0.6388888888888888,0.48936170212765956,0.92,,PB10,50,25
0.6,0.6000000000000001,0.6296296296296297,0.5862068965517241,0.68,,PB12,50,25
0.52,0.52,0.6756756756756757,0.5102040816326531,1.0,,PB13,50,25
0.54,0.54,0.6666666666666666,0.5227272727272727,0.92,,PB14,50,25
0.48,0.48,0.6486486486486487,0.4897959183673469,0.96,,PB15,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PB16,50,25
0.6,0.6,0.7142857142857143,0.5555555555555556,1.0,,PB17,50,25
0.42,0.42000000000000004,0.43137254901960786,0.4230769230769231,0.44,,PB18,50,25
