accuracy,balanced_accuracy,f1,precision,recall,auc,subject,n_test,n_pos
0.58,0.5800000000000001,0.5882352941176471,0.5769230769230769,0.6,,PA01,50,25
0.58,0.5800000000000001,0.46153846153846156,0.6428571428571429,0.36,,PA02,50,25
0.48,0.48000000000000004,0.43478260869565216,0.47619047619047616,0.4,,PA03,50,25
0.6,0.6,0.6428571428571429,0.5806451612903226,0.72,,PA04,50,25
0.44,0.44,0.5882352941176471,0.46511627906976744,0.8,,PA05,50,25
0.58,0.5800000000000001,0.36363636363636365,0.75,0.24,,PA06,50,25
0.52,0.52,0.4,0.5333333333333333,0.32,,PA07,50,25
0.58,0.5800000000000001,0.46153846153846156,0.6428571428571429,0.36,,PA08,50,25
0.68,0.6799999999999999,0.7037037037037037,0.6551724137931034,0.76,,PA10,50,25
0.48,0.48,0.4090909090909091,0.47368421052631576,0.36,,PA11,50,25
0.44,0.44,0.6,0.4666666666666667,0.84,,PA12,50,25
0.48,0.48000000000000004,0.35,0.4666666666666667,0.28,,PA13,50,25
0.36,0.36,0.4482758620689655,0.3939393939393939,0.52,,PA14,50,25
0.6,0.6000000000000001,0.696969696969697,0.5609756097560976,0.92,,PA15,50,25
0.52,0.52,0.5384615384615384,0.5185185185185185,0.56,,PA16,50,25
0.52,0.52,0.6756756756756757,0.5102040816326531,1.0,,PA17,50,25
0.5,0.5,0.5901639344262295,0.5,0.72,,PA18,50,25
0.5,0.5,0.6575342465753424,0.5,0.96,,PA19,50,25
0.42,0.42,0.5538461538461539,0.45,0.72,,PA20,50,25
0.6,0.6,0.6774193548387096,0.5675675675675675,0.84,,PA21,50,25
0.5,0.5,0.6575342465753424,0.5,0.96,,PA22,50,25
0.52,0.52,0.6756756756756757,0.5102040816326531,1.0,,PA24,50,25
0.48,0.48,0.6176470588235294,0.4883720930232558,0.84,,PB01,50,25
0.46,0.46,0.49056603773584906,0.4642857142857143,0.52,,PB02,50,25
0.52,0.52,0.5714285714285714,0.5161290322580645,0.64,,PB03,50,25
0.54,0.54,0.684931506849315,0.5208333333333334,1.0,,PB04,50,25
0.56,0.56,0.6944444444444444,0.5319148936170213,1.0,,PB05,50,25
0.52,0.52,0.5714285714285714,0.5161290322580645,0.64,,PB06,50,25
0.54,0.54,0.684931506849315,0.5208333333333334,1.0,,PB07,50,25
0.58,0.5800000000000001,0.6440677966101694,0.5588235294117647,0.76,,PB08,50,25
0.5,0.5,0.6666666666666666,0.5,1.0,,PB10,50,25
0.56,0.5599999999999999,0.6857142857142857,0.5333333333333333,0.96,,PB12,50,25
0.52,0.52,0.6756756756756757,0.5102040816326531,1.0,,PB13,50,25
0.58,0.5800000000000001,0.676923076923077,0.55,0.88,,PB14,50,25
0.48,0.48,0.6486486486486487,0.4897959183673469,0.96,,PB15,50,25
0.56,0.56,0.65625,0.5384615384615384,0.84,,PB16,50,25
0.56,0.56,0.6944444444444444,0.5319148936170213,1.0,,PB17,50,25
0.52,0.52,0.6363636363636364,0.5121951219512195,0.84,,PB18,50,25
