subject,balanced_accuracy,accuracy,f1,precision,recall,auc,n_test,n_pos
PA01,0.48,0.48,0.13333333333333333,0.4,0.08,0.4064,50,25
PA02,0.54,0.54,0.25806451612903225,0.6666666666666666,0.16,0.6080000000000001,50,25
PA03,0.52,0.52,0.14285714285714285,0.6666666666666666,0.08,0.6272,50,25
PA04,0.52,0.52,0.25,0.5714285714285714,0.16,0.5456,50,25
PA05,0.5,0.5,0.0,0.0,0.0,0.52,50,25
PA06,0.5599999999999999,0.56,0.26666666666666666,0.8,0.16,0.7904,50,25
PA07,0.6599999999999999,0.66,0.5142857142857142,0.9,0.36,0.8208,50,25
PA08,0.5,0.5,0.0,0.0,0.0,0.7872,50,25
PA10,0.5,0.5,0.2857142857142857,0.5,0.2,0.6368,50,25
PA11,0.5,0.5,0.32432432432432434,0.5,0.24,0.48800000000000004,50,25
PA12,0.52,0.52,0.07692307692307693,1.0,0.04,0.6352,50,25
PA13,0.58,0.58,0.3225806451612903,0.8333333333333334,0.2,0.7183999999999999,50,25
PA14,0.48,0.48,0.3157894736842105,0.46153846153846156,0.24,0.4784,50,25
PA15,0.52,0.52,0.14285714285714285,0.6666666666666666,0.08,0.648,50,25
PA16,0.56,0.56,0.21428571428571427,1.0,0.12,0.5264,50,25
PA17,0.48,0.48,0.0,0.0,0.0,0.7248,50,25
PA18,0.5,0.5,0.07407407407407407,0.5,0.04,0.6496,50,25
PA19,0.48,0.48,0.0,0.0,0.0,0.5840000000000001,50,25
PA20,0.52,0.52,0.2,0.6,0.12,0.5856,50,25
PA21,0.54,0.54,0.14814814814814814,1.0,0.08,0.792,50,25
PA22,0.54,0.54,0.14814814814814814,1.0,0.08,0.6319999999999999,50,25
PA24,0.54,0.54,0.30303030303030304,0.625,0.2,0.5648,50,25
PB01,0.56,0.56,0.21428571428571427,1.0,0.12,0.776,50,25
PB02,0.6,0.6,0.3333333333333333,1.0,0.2,0.6703999999999999,50,25
PB03,0.52,0.52,0.3333333333333333,0.5454545454545454,0.24,0.584,50,25
PB04,0.48,0.48,0.0,0.0,0.0,0.4928,50,25
PB05,0.52,0.52,0.07692307692307693,1.0,0.04,0.6208,50,25
PB06,0.5800000000000001,0.58,0.36363636363636365,0.75,0.24,0.4528,50,25
PB07,0.5,0.5,0.0,0.0,0.0,0.592,50,25
PB08,0.54,0.54,0.46511627906976744,0.5555555555555556,0.4,0.6192,50,25
PB10,0.6,0.6,0.375,0.8571428571428571,0.24,0.7135999999999999,50,25
PB12,0.5,0.5,0.07407407407407407,0.5,0.04,0.616,50,25
PB13,0.58,0.58,0.27586206896551724,1.0,0.16,0.5920000000000001,50,25
PB14,0.46,0.46,0.06896551724137931,0.25,0.04,0.5456,50,25
PB15,0.5,0.5,0.0,0.0,0.0,0.6032,50,25
PB16,0.64,0.64,0.4375,1.0,0.28,0.7392,50,25
PB17,0.52,0.52,0.07692307692307693,1.0,0.04,0.624,50,25
PB18,0.5,0.5,0.0,0.0,0.0,0.6671999999999999,50,25
