accuracy,balanced_accuracy,f1,precision,recall,auc,subject,n_test,n_pos
0.58,0.58,0.704225352112676,0.5434782608695652,1.0,,PA01,50,25
0.52,0.52,0.6470588235294118,0.5116279069767442,0.88,,PA02,50,25
0.52,0.52,0.6571428571428571,0.5111111111111111,0.92,,PA03,50,25
0.48,0.48,0.6285714285714286,0.4888888888888889,0.88,,PA04,50,25
0.5,0.5,0.4444444444444444,0.5,0.4,,PA05,50,25
0.7,0.7,0.7619047619047619,0.631578947368421,0.96,,PA06,50,25
0.68,0.68,0.7419354838709677,0.6216216216216216,0.92,,PA07,50,25
0.78,0.78,0.8070175438596491,0.71875,0.92,,PA08,50,25
0.5,0.5,0.6268656716417911,0.5,0.84,,PA10,50,25
0.42,0.42000000000000004,0.5797101449275363,0.45454545454545453,0.8,,PA11,50,25
0.42,0.42,0.5084745762711864,0.4411764705882353,0.6,,PA12,50,25
0.52,0.52,0.6666666666666666,0.5106382978723404,0.96,,PA13,50,25
0.36,0.36,0.5294117647058824,0.4186046511627907,0.72,,PA14,50,25
0.52,0.52,0.6756756756756757,0.5102040816326531,1.0,,PA15,50,25
0.44,0.44,0.5333333333333333,0.45714285714285713,0.64,,PA16,50,25
0.48,0.48000000000000004,0.07142857142857142,0.3333333333333333,0.04,,PA17,50,25
0.58,0.58,0.43243243243243246,0.6666666666666666,0.32,,PA18,50,25
0.54,0.54,0.684931506849315,0.5208333333333334,1.0,,PA19,50,25
0.52,0.52,0.6470588235294118,0.5116279069767442,0.88,,PA20,50,25
0.64,0.64,0.7352941176470589,0.5813953488372093,1.0,,PA21,50,25
0.58,0.5800000000000001,0.6440677966101694,0.5588235294117647,0.76,,PA22,50,25
0.6,0.6000000000000001,0.6666666666666666,0.5714285714285714,0.8,,PA24,50,25
0.62,0.6200000000000001,0.5957446808510638,0.6363636363636364,0.56,,PB01,50,25
0.54,0.54,0.676056338028169,0.5217391304347826,0.96,,PB02,50,25
0.56,0.56,0.6944444444444444,0.5319148936170213,1.0,,PB03,50,25
0.46,0.46,0.5970149253731343,0.47619047619047616,0.8,,PB04,50,25
0.54,0.54,0.20689655172413793,0.75,0.12,,PB05,50,25
0.44,0.44,0.5882352941176471,0.46511627906976744,0.8,,PB06,50,25
0.52,0.52,0.6470588235294118,0.5116279069767442,0.88,,PB07,50,25
0.48,0.48000000000000004,0.6060606060606061,0.4878048780487805,0.8,,PB08,50,25
0.58,0.5800000000000001,0.6865671641791045,0.5476190476190477,0.92,,PB10,50,25
0.58,0.5800000000000001,0.676923076923077,0.55,0.88,,PB12,50,25
0.5,0.5,0.6575342465753424,0.5,0.96,,PB13,50,25
0.38,0.38,0.43636363636363634,0.4,0.48,,PB14,50,25
0.5,0.5,0.3902439024390244,0.5,0.32,,PB15,50,25
0.7,0.7,0.7540983606557377,0.6388888888888888,0.92,,PB16,50,25
0.56,0.56,0.35294117647058826,0.6666666666666666,0.24,,PB17,50,25
0.5,0.5,0.647887323943662,0.5,0.92,,PB18,50,25
