accuracy,balanced_accuracy,f1,precision,recall,auc,subject,n_test,n_pos,avg_steps
0.48,0.48,0.5806451612903226,0.4864864864864865,0.72,,PA01,50,25,2.54
0.6,0.6000000000000001,0.6153846153846154,0.5925925925925926,0.64,,PA02,50,25,2.52
0.48,0.48,0.4583333333333333,0.4782608695652174,0.44,,PA03,50,25,2.64
0.48,0.48,0.5806451612903226,0.4864864864864865,0.72,,PA04,50,25,2.6
0.6,0.6000000000000001,0.5652173913043478,0.6190476190476191,0.52,,PA05,50,25,2.64
0.78,0.78,0.7843137254901961,0.7692307692307693,0.8,,PA06,50,25,2.62
0.68,0.68,0.7142857142857143,0.6451612903225806,0.8,,PA07,50,25,2.52
0.74,0.74,0.6976744186046512,0.8333333333333334,0.6,,PA08,50,25,2.54
0.54,0.54,0.5818181818181818,0.5333333333333333,0.64,,PA10,50,25,2.7
0.46,0.46,0.5423728813559322,0.47058823529411764,0.64,,PA11,50,25,2.62
0.48,0.48,0.5357142857142857,0.4838709677419355,0.6,,PA12,50,25,2.68
0.52,0.52,0.5714285714285714,0.5161290322580645,0.64,,PA13,50,25,2.58
0.5,0.5,0.576271186440678,0.5,0.68,,PA14,50,25,2.52
0.58,0.5800000000000001,0.6037735849056604,0.5714285714285714,0.64,,PA15,50,25,2.42
0.62,0.62,0.6545454545454545,0.6,0.72,,PA16,50,25,2.42
0.64,0.64,0.5909090909090909,0.6842105263157895,0.52,,PA17,50,25,2.58
0.56,0.56,0.5,0.5789473684210527,0.44,,PA18,50,25,2.44
0.54,0.54,0.5818181818181818,0.5333333333333333,0.64,,PA19,50,25,2.6
0.42,0.42,0.5084745762711864,0.4411764705882353,0.6,,PA20,50,25,2.54
0.58,0.58,0.631578947368421,0.5625,0.72,,PA21,50,25,2.48
0.5,0.5,0.5098039215686274,0.5,0.52,,PA22,50,25,2.6
0.54,0.54,0.5818181818181818,0.5333333333333333,0.64,,PA24,50,25,2.62
0.66,0.66,0.6222222222222222,0.7,0.56,,PB01,50,25,2.52
0.48,0.48000000000000004,0.5185185185185185,0.4827586206896552,0.56,,PB02,50,25,2.68
0.48,0.48,0.5517241379310345,0.48484848484848486,0.64,,PB03,50,25,2.52
0.44,0.44,0.44,0.44,0.44,,PB04,50,25,2.78
0.64,0.64,0.7096774193548387,0.5945945945945946,0.88,,PB05,50,25,2.5
0.52,0.52,0.6,0.5142857142857142,0.72,,PB06,50,25,2.68
0.6,0.6000000000000001,0.6296296296296297,0.5862068965517241,0.68,,PB07,50,25,2.58
0.58,0.5800000000000001,0.6440677966101694,0.5588235294117647,0.76,,PB08,50,25,2.46
0.6,0.6,0.6774193548387096,0.5675675675675675,0.84,,PB10,50,25,2.54
0.62,0.62,0.6274509803921569,0.6153846153846154,0.64,,PB12,50,25,2.56
0.48,0.48,0.48,0.48,0.48,,PB13,50,25,2.52
0.52,0.52,0.52,0.52,0.52,,PB14,50,25,2.9
0.48,0.48000000000000004,0.43478260869565216,0.47619047619047616,0.4,,PB15,50,25,2.54
0.68,0.68,0.6363636363636364,0.7368421052631579,0.56,,PB16,50,25,2.5
0.64,0.64,0.6666666666666666,0.6206896551724138,0.72,,PB17,50,25,2.66
0.7,0.7,0.6808510638297872,0.7272727272727273,0.64,,PB18,50,25,2.56
