accuracy,balanced_accuracy,f1,precision,recall,auc,subject,n_test,n_pos,avg_steps
0.5,0.5,0.5098039215686274,0.5,0.52,,PA01,50,25,2.52
0.6,0.6,0.5454545454545454,0.631578947368421,0.48,,PA02,50,25,2.48
0.54,0.54,0.3783783783783784,0.5833333333333334,0.28,,PA03,50,25,2.64
0.46,0.45999999999999996,0.4489795918367347,0.4583333333333333,0.44,,PA04,50,25,2.62
0.4,0.4,0.0,0.0,0.0,,PA05,50,25,2.58
0.72,0.72,0.6666666666666666,0.8235294117647058,0.56,,PA06,50,25,2.48
0.6,0.6000000000000001,0.5652173913043478,0.6190476190476191,0.52,,PA07,50,25,2.6
0.7,0.7,0.5714285714285714,1.0,0.4,,PA08,50,25,2.54
0.54,0.54,0.46511627906976744,0.5555555555555556,0.4,,PA10,50,25,2.76
0.4,0.4,0.34782608695652173,0.38095238095238093,0.32,,PA11,50,25,2.8
0.4,0.4,0.25,0.3333333333333333,0.2,,PA12,50,25,2.68
0.46,0.45999999999999996,0.37209302325581395,0.4444444444444444,0.32,,PA13,50,25,2.52
0.48,0.48000000000000004,0.43478260869565216,0.47619047619047616,0.4,,PA14,50,25,2.58
0.64,0.64,0.5909090909090909,0.6842105263157895,0.52,,PA15,50,25,2.24
0.52,0.52,0.45454545454545453,0.5263157894736842,0.4,,PA16,50,25,2.48
0.58,0.5800000000000001,0.4,0.7,0.28,,PA17,50,25,2.56
0.58,0.58,0.43243243243243246,0.6666666666666666,0.32,,PA18,50,25,2.48
0.46,0.46,0.4,0.45,0.36,,PA19,50,25,2.68
0.52,0.52,0.45454545454545453,0.5263157894736842,0.4,,PA20,50,25,2.56
0.64,0.64,0.6086956521739131,0.6666666666666666,0.56,,PA21,50,25,2.42
0.56,0.56,0.42105263157894735,0.6153846153846154,0.32,,PA22,50,25,2.6
0.48,0.48,0.4090909090909091,0.47368421052631576,0.36,,PA24,50,25,2.66
0.54,0.54,0.34285714285714286,0.6,0.24,,PB01,50,25,2.54
0.48,0.48,0.4090909090909091,0.47368421052631576,0.36,,PB02,50,25,2.56
