accuracy,balanced_accuracy,f1,precision,recall,auc,subject,n_test,n_pos,avg_steps
0.46,0.45999999999999996,0.4489795918367347,0.4583333333333333,0.44,,PA01,50,25,2.58
0.56,0.56,0.47619047619047616,0.5882352941176471,0.4,,PA02,50,25,2.5
0.56,0.56,0.35294117647058826,0.6666666666666666,0.24,,PA03,50,25,2.64
0.46,0.45999999999999996,0.47058823529411764,0.46153846153846156,0.48,,PA04,50,25,2.64
0.46,0.46,0.22857142857142856,0.4,0.16,,PA05,50,25,2.66
0.78,0.78,0.7755102040816326,0.7916666666666666,0.76,,PA06,50,25,2.62
0.7,0.7,0.7169811320754716,0.6785714285714286,0.76,,PA07,50,25,2.54
0.66,0.6599999999999999,0.5142857142857142,0.9,0.36,,PA08,50,25,2.54
0.56,0.56,0.56,0.56,0.56,,PA10,50,25,2.7
0.46,0.46,0.49056603773584906,0.4642857142857143,0.52,,PA11,50,25,2.62
0.52,0.52,0.45454545454545453,0.5263157894736842,0.4,,PA12,50,25,2.7
0.64,0.64,0.6086956521739131,0.6666666666666666,0.56,,PA13,50,25,2.58
0.54,0.54,0.5818181818181818,0.5333333333333333,0.64,,PA14,50,25,2.52
0.64,0.64,0.5909090909090909,0.6842105263157895,0.52,,PA15,50,25,2.42
0.66,0.66,0.6222222222222222,0.7,0.56,,PA16,50,25,2.44
0.62,0.62,0.4864864864864865,0.75,0.36,,PA17,50,25,2.6
0.48,0.48,0.2777777777777778,0.45454545454545453,0.2,,PA18,50,25,2.46
0.46,0.46,0.34146341463414637,0.4375,0.28,,PA19,50,25,2.62
0.48,0.48,0.4583333333333333,0.4782608695652174,0.44,,PA20,50,25,2.54
0.66,0.66,0.6222222222222222,0.7,0.56,,PA21,50,25,2.48
0.64,0.64,0.5,0.8181818181818182,0.36,,PA22,50,25,2.6
0.48,0.48000000000000004,0.43478260869565216,0.47619047619047616,0.4,,PA24,50,25,2.62
0.66,0.66,0.5405405405405406,0.8333333333333334,0.4,,PB01,50,25,2.52
0.56,0.56,0.45,0.6,0.36,,PB02,50,25,2.68
0.58,0.5800000000000001,0.6037735849056604,0.5714285714285714,0.64,,PB03,50,25,2.56
0.46,0.46,0.22857142857142856,0.4,0.16,,PB04,50,25,2.78
0.58,0.5800000000000001,0.5714285714285714,0.5833333333333334,0.56,,PB05,50,25,2.46
0.5,0.5,0.5098039215686274,0.5,0.52,,PB06,50,25,2.68
0.58,0.5800000000000001,0.46153846153846156,0.6428571428571429,0.36,,PB07,50,25,2.6
0.62,0.62,0.6666666666666666,0.59375,0.76,,PB08,50,25,2.46
0.7,0.7,0.7272727272727273,0.6666666666666666,0.8,,PB10,50,25,2.54
0.52,0.52,0.3333333333333333,0.5454545454545454,0.24,,PB12,50,25,2.62
0.52,0.52,0.42857142857142855,0.5294117647058824,0.36,,PB13,50,25,2.52
0.52,0.52,0.42857142857142855,0.5294117647058824,0.36,,PB14,50,25,2.92
0.5,0.5,0.13793103448275862,0.5,0.08,,PB15,50,25,2.54
0.6,0.6,0.5238095238095238,0.6470588235294118,0.44,,PB16,50,25,2.54
0.6,0.6,0.5238095238095238,0.6470588235294118,0.44,,PB17,50,25,2.68
0.66,0.66,0.5405405405405406,0.8333333333333334,0.4,,PB18,50,25,2.56
